Gene	B9_F	B31_F	B43_F	B54_F	B60_F	B27_F	C17_F	C19_F	C31_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T44_F	T47_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	B48_M	B49_M	B59_M	C13_M	C15_M	C20_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M	T41_M	T43_M	T45_M	T63_M	T69_M
miR-ENSGACG00000022167-5p	19.0939254508326	4.77144801796058	5.45271024075503	26.4016950137177	55.0197306972163	3.76473352507221	0	0	0	179.128868688272	57.5197051272411	224.886721337621	3.580764472649	65.1712980909115	0	0	0	0	0	0	0	0	8.64877102780404	14.8558148683077	0.876541090800877	0	61.0005420622763	3.44161455240079	0	0	37.941912588694	0	474.751133888764	53.5839266389994	711.750371978084	213.369382231798	180.818948453289	195.854185931222	1011.98066796308	113.938385182942	0	0	0	0	0	0	0	0
miR-ENSGACG00000022167-3p	0	0	5.45271024075503	0	0	0	0	0	0	105.02118069667	43.4393606429685	16.6109510078924	8.13810107420227	246.347506783646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.0816232688622	176.989333443968	546.270761055835	69.6588277286165	0	156.540389485174	160.68089995139	28.3557067197367	0	0	0	0	0	0	0	0
miR-99a-5p	5397.76970788321	4990.93462678676	9063.96233734651	6772.03477101858	7442.33557231012	6577.67396530572	1809.95943919097	2206.86976801757	2406.74516680027	12162.9772256845	5321.47146966242	7619.74137259476	4990.93462678677	14367.6643771224	3320.74620850205	1241.35820805186	3330.9106073372	2469.62248649534	4974.98981347625	2783.68170365805	1361.12008572521	10221.6161374061	8204.2994036795	10196.0409379485	8492.8066287697	7303.32723395438	9272.082393466	4633.27359116956	4089.48033991475	1805.72228013874	1510.9312746431	1458.87555322694	19200.5358444709	4497.26107518632	15571.0672527464	8473.90225963522	11749.329082231	7596.14026967552	15839.428714439	11629.964221524	1524.52849310692	3945.80659181599	2927.90360218294	5039.61591691114	4990.93462678676	8087.7979626308	1115.69949154165	2649.7715003154
miR-92a-3p	410990.93413447	366675.04442223	229130.673902585	196455.012597073	119955.850857094	219785.143193716	182970.894202362	92932.6555543683	166853.078563808	80708.7773653909	49667.6662137776	100647.029922282	210314.573680824	237252.200422078	210841.070878482	252452.568820394	297688.417974686	250060.78121023	524033.875871524	190439.499390647	306918.498778425	73217.7784727311	287035.41287076	195764.151073221	126679.033254179	120939.938913473	251003.674910253	165206.962955257	98721.2322344168	198565.988569208	182989.628647206	153644.587076505	177045.45185833	104742.504032854	118238.942904195	108145.64382718	71924.3141005923	66696.9278651692	159919.983189601	127766.690012702	628039.864472079	306815.516489299	307792.066996607	172043.566915318	131391.179539442	208840.424869451	520578.286431479	189365.876086142
miR-92a-2-5p	54.7912643371719	227.836642857618	125.412335537366	134.64864456996	425.485917391806	108.150526720256	465.333458438289	113.466687631129	26.4857123619168	0	0	0	0	0	481.534513594196	1188.11458965011	445.787911175836	444.838832971211	832.396006297658	307.040317678422	929.316472322732	119.257418858285	113.186090407349	71.8031051968204	88.5306501708886	98.5543597650224	145.723517148771	168.639113067639	342.015891737474	25.0897251837831	90.2174365997835	51.4695412741767	0	0	0	0	0	0	0	0	1649.21986677153	110.681811832145	367.254344564469	258.648170918113	191.998303629202	362.572697415622	1139.35389772274	623.203365406878
miR-92a-1-5p	384.369021031979	362.630049365004	563.966030615235	620.439832822365	1562.56035180094	325.478325667607	492.008624845579	604.009539208131	535.472010795275	240.532381595599	71.3004678139759	104.350846075222	169.272502343407	277.629729867283	0	0	0	0	0	0	0	0	333.541734854878	203.029469866872	124.468834893725	200.807810781279	562.560554574326	617.769812155941	1368.0635669499	527.622161953086	353.281363881395	579.890165022391	240.6542349961	171.576815601644	250.099866507491	187.63954496267	171.712958243411	87.205148480325	213.983698492957	152.605257982583	0	0	0	0	0	0	0	0
miR-9-5p	7.47153604597798	20.2786540763324	0	58.0837290301789	102.70349730147	56.1287543738039	521.647698631457	482.519954471771	443.34779388426	138.898980921402	103.056138352974	833.529003139628	861.662141736536	0	2.63133613985899	194.357823816158	51.2447785744185	209.636691400226	16.9629462709857	9.03059757877713	0	91.0122407076384	35.7231846800602	53.6459981355555	24.1048799970241	39.6331205489366	23.7224330242186	67.1114837718153	209.622643322968	1323.11403689774	3004.99947702457	218.459608519283	25.5736108034003	1461.37981742726	31.96765210998	53.3423455579496	1306.05916724534	193.709797034165	113.558136023338	63.4136713914112	261.14608446739	0	0	66.673750725558	39.8294353273345	50.3472576830884	197.120051509125	75.323026608934
miR-9-1/3/5/6-3p	4.98102403065199	17.8929300673522	11.6843790873322	0	22.0078922788865	42.7810627849115	0	0	0	18.2093176207936	31.45608874146	257.256779711975	58.9198517772244	14.3376855800005	0	0	0	30.6785402049111	0	0	0	0	22.1859778539321	66.8511669073846	11.3950341804114	23.2514307220428	20.3335140207588	7.74363274290177	147.103609349451	0	0	0	5.24586888274878	212.170699419068	31.0274270479218	5.0204560525129	199.030928873044	93.6383151714965	24.72013845406	78.3648622072723	0	0	0	0	0	0.362210486928693	0	0
miR-8159-5p	55.6214350089472	0	97.3698257277685	5.28033900274353	78.8616139993433	6.84497004558584	0	0	0	17.3623726151753	1009.29107590456	62.610507645133	0	0	73.6774119160519	0	10.8322296173568	0	37.5608096000399	15.80354576286	0	0	8.27273750485604	14.8558148683077	16.2160101798162	10.3046113427235	3.3889190034598	18.0684764001041	51.486263272308	0	0	0	0	5268.00361593314	1.88045012411647	0	1390.61479062277	0.714796299019057	28.5826600875069	0	0	0	0	17.2432113945409	2.04253514499151	24.9925235980798	0	4.20799031334827
miR-737-5p	192.599595851877	200.400816754344	59.9798126483054	137.288814071332	31.1778473950892	302.205427512615	237.112590287026	105.443790525898	36.849686764406	724.984924809271	842.124432878514	480.01389194602	489.26263658104	212.458431776372	189.456202069848	484.777560552945	563.692564318604	409.047202732148	75.1216192000797	51.9259360779685	872.99426187893	433.092731643245	194.785364887065	221.186576928137	499.190151211099	470.841472121367	247.391087252565	228.006964096552	40.4534925710991	441.283989997126	849.055688373664	369.436929590202	77.3765660205445	401.067572116147	429.682853360614	562.291077881445	71.5470659347545	502.501798210397	354.579485950424	236.641261533803	322.315437585878	66.4090870992873	587.60695130315	165.534829387592	278.806047291342	86.5683063759577	299.622478293871	124.135714243774
miR-733-1-5p	0	14.3143440538817	0	10.5606780054871	12.8379371626838	3.42248502279292	20.7473516501148	155.873429473066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.4583992542222	0	0.264220803659578	13.5556760138392	0	0	0	168.630722616418	33.1692599322472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-730-5p	24.0749494814846	17.8929300673522	9.34750326986577	10.5606780054871	0	2.73798801823434	0	0	0	2.54083501685492	1.49790898768857	6.81474913144305	0	0	60.5207312167569	0	0	5.11309003415185	79.9681752775042	33.8647409204142	37.548140295868	448.784497282493	3.76033522948002	7.42790743415384	9.20368145340921	6.86974089514902	0	10.3248436572024	0	0	0	47.4663547306296	9.18027054481036	0	6.58157543440765	4.39289904594879	0	6.43316669117152	18.540103840545	5.67114134394734	25.8793417039756	442.727247328582	10.1311543328129	16.0936639682381	91.9140815246181	74.9775707942396	27.5968072112776	117.402929742417
miR-727b-5p	38.1878509016653	26.2429640987832	96.5908671219463	95.0461020493836	44.015784557773	103.016799186067	111.640511260141	26.9340117104195	24.1826069391414	7.62250505056476	0	0	0	0	0	0	0	0	0	0	0	0	45.8760897996562	127.099749428855	263.838868331064	296.455741706046	61.0005420622763	44.7409891812102	73.5518046747257	293.69737126899	309.437376001127	34.3130275161178	8.52453693446676	0	1.88045012411647	0	0	0	4.63502596013626	0	0	0	0	0	0	0	0	0
miR-727b-3p	34.0369975427886	16.700068062862	45.9585577435067	39.6025425205765	25.6758743253676	55.7865058715246	162.026936696134	48.1373826313881	181.945328399255	0	0	0	0	0	0	0	0	0	0	0	0	0	32.3388829735282	77.5803665344956	318.622686506119	141.093909154214	47.4448660484372	85.1799601719194	25.743131636154	237.614456152299	184.650641264978	68.6260550322356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-725-3p	56.4516056807226	506.966351908311	200.971320302114	475.230510246918	73.3596409296217	339.852762763337	6158.01156357931	1626.35585604618	38.0012394757937	21.1736251404577	487.120002796323	1443.02312858307	715.176322400895	1368.59725990914	615.732656727005	68.1369382344001	41.6624216052183	214.749781434378	428.920212852068	31.60709152572	56.3222104438019	254.206603355817	430.558383775462	520.778843439008	156.024314162556	565.960961438815	30.5002710311382	437.0850481549	684.031783474949	27.3035244647051	7600.18666832195	11641.2664686349	676.061352264249	270.625892116158	689.184970488687	888.620721294784	206.836063338654	1712.65193244966	368.484563830832	2859.28635395745	75.2853576842926	276.704529580364	141.836160659381	862.160569727043	2109.93880477623	124.238197016542	165.580843267665	338.322421193201
miR-724-5p	41.5085335887666	29.8215501122536	13.2422962989765	13.2008475068588	7.33596409296217	42.0965657803529	254.896034558553	4427.49307392981	563.109275868579	550.09078114909	17.9749078522628	55.3698366929748	2.92971638671282	0	0	0	82.0749705622801	0	0	0	0	18.8301187670976	13.9132403490761	56.1219672802734	41.1974312676412	30.3853924208514	27.1113520276784	32.6953382478075	29.4207218698903	321.738828827336	170.317029842582	308.81724764506	107.54031209635	22.191323153525	591.40156403463	62.1281436498472	81.9539118889007	30.0214445588004	85.7479802625208	855.311226328058	0	636.420418034837	0	0	13.2764784424448	14.126208990219	0	0.841598062669653
miR-722-3p	43.1688749323172	23.8572400898029	88.0223224579027	5.28033900274353	0	68.4497004558584	76.0736227170875	128.366353683702	0	88.5057530871131	659.379536380509	109.035986103089	27.6695436522877	53.4404644345475	0	4.84032894561312	4.9994905926262	0	0	11.2882469734714	0	94.150593835488	132.739833600645	103.165381029914	105.623201441506	70.5469545771072	30.5002710311382	31.8349346097073	29.4207218698903	66.4139784276611	132.375117253888	166.418183453171	36.0653485688978	77.3990051452213	13.1631508688153	90.9957659517963	80.6530561446324	91.4939262744393	22.4026254739919	10.8267243838995	0	498.068153244655	32.926251581642	21.8414010997518	15.3190135874364	35.1344172320833	0	37.8719128201344
miR-7147-5p	26.5654614968106	21.4715160808226	10.9054204815101	5.28033900274353	29.3438563718487	8.21396405470301	0	0	0	0	0.898745392613142	0	27.3440196093196	0	0	0	0	0	0	0	0	0	0	0	4.82097599940482	4.49175366221282	16.944595017299	3.44161455240079	0	0	82.6290540820447	0	0	0	0.940225062058236	0	0	0	9.27005192027252	0	0	0	0	0	0	0	0	0
miR-7133-3p	292.220076464917	132.407682498406	78.6748191880369	87.1255935452683	42.1817935345325	73.2411794877685	0	10.8882174999568	27.6372650733045	182.940121213554	120.132300812623	194.646272066842	666.022191912713	216.368709661826	7.89400841957698	7.07432692051149	0	5.11309003415185	43.6190046968205	0	51.6286929068184	0	32.7149164964761	67.6764899556239	98.6108727150987	115.200270395576	196.557302200668	110.992069314925	342.015891737474	152.01421728998	70.8249034988955	184.718464795101	62.9504265929853	59.5376962655549	210.610413901045	149.358567562259	0	120.800574534221	334.4943734565	155.698607806554	0	0	0	109.207005498759	45.9570407623091	14.4884194771477	0	7.15358353269205
miR-7132b-5p	1231.14310624282	551.102246074447	367.668461948054	660.042375342942	234.75085097479	119.102478793194	87.9292522314388	735.241213286558	290.191283269697	0	0	0	0	0	0	0	0	0	0	0	0	0	87.9918443698324	120.49716504294	88.968920716289	91.948839673533	498.17109350859	511.079761031517	1070.17875801726	718.746833206021	1112.96276926836	281.938709424101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
