		B9_F	B31_F	B43_F	B54_F	B60_F	B27_F	C17_F	C19_F	C31_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T44_F	T47_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	B48_M	B49_M	B59_M	C13_M	C15_M	C20_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M	T41_M	T43_M	T45_M	T63_M	T69_M
nomCol	Gene	B9_F	B31_F	B43_F	B54_F	B60_F	B27_F	C17_F	C19_F	C31_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T44_F	T47_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	B48_M	B49_M	B59_M	C13_M	C15_M	C20_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M	T41_M	T43_M	T45_M	T63_M	T69_M
miR-ENSGACG00000022167-5p	miR-ENSGACG00000022167-5p	23	4	7	10	30	11	0	0	0	423	192	528	11	50	0	0	0	0	0	0	0	0	23	18	2	0	18	4	0	0	45	0	724	99	757	340	139	274	1310	221	0	0	0	0	0	0	0	0
miR-ENSGACG00000022167-3p	miR-ENSGACG00000022167-3p	0	0	7	0	0	0	0	0	0	248	145	39	25	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	327	581	111	0	219	208	55	0	0	0	0	0	0	0	0
miR-99a-5p	miR-99a-5p	6502	4184	11636	2565	4058	19219	1832	3851	2090	28722	17763	17890	15332	11023	1262	3334	7995	483	4106	1233	290	3257	21818	12354	19378	27641	2736	5385	1112	2447	1792	2551	29281	8309	16561	13503	9032	10627	20504	22558	648	713	1156	4384	4887	22329	283	6297
miR-99a-3p	miR-99a-3p	1	0	14	3	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	10	45	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-92a-3p	miR-92a-3p	495068	307391	294150	74410	65407	642180	185199	162168	144894	190588	165790	236304	646080	182022	80127	678029	714525	48906	432500	84353	65392	23330	763324	237197	289043	457723	74066	192011	26844	269084	217030	268664	269996	193519	125756	172328	55290	93309	207015	247822	266948	55441	121523	149662	128655	576572	132046	450015
miR-92a-2-5p	miR-92a-2-5p	66	191	161	51	232	316	471	198	23	0	0	0	0	0	183	3191	1070	87	687	136	198	38	301	87	202	373	43	196	93	34	107	90	0	0	0	0	0	0	0	0	701	20	145	225	188	1001	289	1481
miR-92a-1-5p	miR-92a-1-5p	463	304	724	235	852	951	498	1054	465	568	238	245	520	213	0	0	0	0	0	0	0	0	887	246	284	760	166	718	372	715	419	1014	367	317	266	299	132	122	277	296	0	0	0	0	0	0	0	0
miR-9-5p	miR-9-5p	9	17	0	22	56	164	528	842	385	328	344	1957	2647	0	1	522	123	41	14	4	0	29	95	65	55	150	7	78	57	1793	3564	382	39	2700	34	85	1004	271	147	123	111	0	0	58	39	139	50	179
miR-9-1/3/5/6-3p	miR-9-1/3/5/6-3p	6	15	15	0	12	125	0	0	0	43	105	604	181	11	0	0	0	6	0	0	0	0	59	81	26	88	6	9	40	0	0	0	8	392	33	8	153	131	32	152	0	0	0	0	0	1	0	0
miR-8159-5p	miR-8159-5p	67	0	125	2	43	20	0	0	0	41	3369	147	0	0	28	0	26	0	31	7	0	0	22	18	37	39	1	21	14	0	0	0	0	9733	2	0	1069	1	37	0	0	0	0	15	2	69	0	10
miR-737-5p	miR-737-5p	232	168	77	52	17	883	240	184	32	1712	2811	1127	1503	163	72	1302	1353	80	62	23	186	138	518	268	1139	1782	73	265	11	598	1007	646	118	741	457	896	55	703	459	459	137	12	232	144	273	239	76	295
miR-733-1-5p	miR-733-1-5p	0	12	0	4	7	10	21	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	1	4	0	0	0	200	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-730-5p	miR-730-5p	29	15	12	4	0	8	0	0	0	6	5	16	0	0	23	0	0	1	66	15	8	143	10	9	21	26	0	12	0	0	0	83	14	0	7	7	0	9	24	11	11	80	4	14	90	207	7	279
miR-728b-5p	miR-728b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-727b-5p	miR-727b-5p	46	22	124	36	24	301	113	47	21	18	0	0	0	0	0	0	0	0	0	0	0	0	122	154	602	1122	18	52	20	398	367	60	13	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0
miR-727b-3p	miR-727b-3p	41	14	59	15	14	163	164	84	158	0	0	0	0	0	0	0	0	0	0	0	0	0	86	94	727	534	14	99	7	322	219	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-725-3p	miR-725-3p	68	425	258	180	40	993	6233	2838	33	50	1626	3388	2197	1050	234	183	100	42	354	14	12	81	1145	631	356	2142	9	508	186	37	9014	20356	1031	500	733	1416	159	2396	477	5546	32	50	56	750	2066	343	42	804
miR-724-5p	miR-724-5p	50	25	17	5	4	123	258	7726	489	1299	60	130	9	0	0	0	197	0	0	0	0	6	37	68	94	115	8	38	8	436	202	540	164	41	629	99	63	42	111	1659	0	115	0	0	13	39	0	2
miR-722-3p	miR-722-3p	52	20	113	2	0	200	77	224	0	209	2201	256	85	41	0	13	12	0	0	5	0	30	353	125	241	267	9	37	8	90	157	291	55	143	14	145	62	128	29	21	0	90	13	19	15	97	0	90
miR-7147-5p	miR-7147-5p	32	18	14	2	16	24	0	0	0	0	3	0	84	0	0	0	0	0	0	0	0	0	0	0	11	17	5	4	0	0	98	0	0	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0
miR-7133-3p	miR-7133-3p	352	111	101	33	23	214	0	19	24	432	401	457	2046	166	3	19	0	1	36	0	11	0	87	82	225	436	58	129	93	206	84	323	96	110	224	238	0	169	433	302	0	0	0	95	45	40	0	17
miR-7132b-5p	miR-7132b-5p	1483	462	472	250	128	348	89	1283	252	0	0	0	0	0	0	0	0	0	0	0	0	0	234	146	203	348	147	594	291	974	1320	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-7132a-5p_gac-miR-7132b-5p	miR-7132a-5p_gac-miR-7132b-5p	656	257	425	151	27	644	364	190	1	657	937	720	1454	96	1037	13193	5328	345	1986	346	867	463	87	188	87	198	83	297	49	373	212	407	245	1467	411	721	148	598	544	898	2192	853	1470	1176	2175	4958	1425	4350
miR-7132a-5p	miR-7132a-5p	553	164	171	59	37	104	61	107	158	0	0	0	0	0	0	0	0	0	0	0	0	0	56	66	55	56	27	184	59	102	529	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-7-5p	miR-7-5p	71	10	63	24	138	211	0	633	311	1005	614	6012	2524	220	3	961	673	36	80	55	16	33	80	92	328	361	16	70	37	92	50	119	3164	587	145	187	195	128	121	457	95	0	122	33	62	178	38	221
miR-551a-3p	miR-551a-3p	235	203	1850	176	21	909	176	0	44	330	58	185	184	16	121	311	470	66	354	134	25	125	1227	449	659	987	35	1472	35	93	68	86	123	51	42	144	764	213	305	151	8	43	10	100	149	1331	0	696
miR-499a-5p	miR-499a-5p	29	48	116	121	28	413	58	9802	1104	15990	144	100	177	117	242	0	91	0	148	39	2	0	878	249	1821	3324	117	378	11	776	330	134	151	20	2721	330	257	758	607	1357	18	10	10	187	142	1970	5	174
miR-489-5p	miR-489-5p	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-489-3p	miR-489-3p	149	44	117	29	18	474	0	90	0	149	33	82	142	35	104	1	0	3	179	17	0	31	397	155	349	489	13	142	28	98	21	444	99	125	56	43	0	21	153	234	0	0	0	106	39	201	5	99
miR-460-5p	miR-460-5p	0	63	183	18	0	174	65	0	123	11	712	42	16	0	16	43	7	0	162	38	0	3	52	29	7	110	11	78	29	88	23	0	0	208	3	13	70	0	14	0	35	0	0	56	37	335	2	51
miR-458-3p	miR-458-3p	47	5	62	0	0	61	83	33	44	40	77	0	0	0	0	0	0	0	0	10	2	0	29	41	59	52	9	27	2	140	7	176	24	39	4	19	121	30	17	17	0	0	0	21	1	51	1	53
miR-456-3p	miR-456-3p	350	440	300	131	90	859	17	127	172	540	1204	728	594	309	100	973	399	19	77	42	40	90	597	252	550	855	93	316	137	61	214	76	294	1046	210	346	303	321	267	345	67	88	87	38	81	323	40	314
miR-455-5p	miR-455-5p	214	80	81	25	25	685	23	34	115	640	515	171	196	51	20	0	142	14	0	31	2	67	340	232	247	395	26	101	4	324	35	40	241	165	234	270	228	242	157	136	3	0	1	123	157	383	30	230
miR-455-3p	miR-455-3p	447	289	330	54	0	656	140	0	45	612	682	714	318	91	50	98	135	5	176	91	0	83	803	443	743	714	19	209	28	534	95	144	169	181	335	519	213	496	431	285	0	0	116	111	338	769	14	219
miR-454b-3p	miR-454b-3p	96	28	6	8	6	231	0	202	0	77	101	62	0	0	3	469	0	0	0	0	0	0	226	125	225	655	5	13	0	138	31	122	29	41	32	48	0	36	13	6	0	0	0	21	2	0	1	14
miR-451-5p	miR-451-5p	182963	40515	160611	43822	66087	187721	9227	33034	20650	157458	127905	36596	42204	24853	14753	181682	64519	16367	32241	34694	12334	31886	365810	130219	226646	422315	75751	61682	7810	18961	17335	7331	61040	53930	49250	39381	14792	42510	37214	107352	17662	6238	19894	31267	32164	285371	42682	131833
miR-429a-3p	miR-429a-3p	15	272	39	32	0	170	689	2103	0	231	613	655	378	41	84	211	255	8	50	15	4	53	207	88	72	617	4	79	45	30	768	2955	439	23	245	550	109	261	240	680	25	6	105	50	164	88	30	152
miR-425-5p	miR-425-5p	6660	12172	8259	2983	2304	16992	103616	123258	21237	7541	5930	21095	42011	5781	2806	15018	20342	1165	2911	1219	2733	1158	21252	7210	13209	18050	2020	5750	1054	64621	79792	183260	13535	9843	5380	14710	3718	11018	12434	20162	3442	1527	1748	5827	3101	7125	535	6662
miR-375a-3p	miR-375a-3p	653	10375	967	3111	1259	6353	186864	444945	5381	959	2656	966824	45009	15906	4734	11649	3707	481	3684	804	499	936	4132	2267	1086	5520	136	1884	2528	31510	178498	416761	410991	4766	5915	13761	3601	11654	9132	55274	1222	1455	1068	3726	3097	1167	1063	4206
miR-365-2b-5p	miR-365-2b-5p	41	40	89	42	9	349	213	254	192	27	31	69	12	47	131	80	122	12	0	13	0	4	256	117	218	257	9	101	14	33	0	0	124	2	28	43	38	8	114	25	4	32	33	12	39	117	0	96
miR-365-2b-3p	miR-365-2b-3p	3757	644	1655	509	448	9382	1325	1427	741	929	501	388	369	753	191	1353	1377	120	355	567	74	492	12096	6294	9031	12245	512	854	117	4010	2083	1880	754	507	471	390	177	292	1053	1504	134	14	485	752	789	8933	120	712
miR-34a-5p	miR-34a-5p	23	12	29	2	0	28	0	0	0	86	135	0	306	0	0	0	0	0	0	0	0	0	0	4	28	35	5	0	9	0	0	0	5	0	2	20	0	4	4	0	0	0	0	0	0	30	0	0
miR-338-3p	miR-338-3p	22	7	54	25	64	87	0	76	54	205	290	90	96	99	21	62	88	0	0	32	0	7	160	96	139	532	32	69	12	136	0	0	172	157	102	36	176	115	91	55	12	0	0	200	99	355	15	175
miR-338-1b-5p	miR-338-1b-5p	0	8	0	1	6	26	0	0	0	0	0	0	0	0	0	0	44	0	18	8	14	0	8	0	2	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	32	4	1	15	12
miR-338-1a-5p	miR-338-1a-5p	18	0	38	6	27	111	0	0	0	16	20	0	42	0	0	0	0	0	0	0	0	0	28	10	75	184	4	1	0	0	0	0	16	0	17	3	51	36	28	0	0	0	0	7	5	31	0	0
miR-31a-5p	miR-31a-5p	55	98	141	170	35	347	304	447	193	1608	266	5	148	2	0	264	275	23	0	3	24	3	189	277	61	191	43	155	65	14	288	543	167	0	178	268	111	354	135	464	0	0	0	34	96	103	5	140
