		B9_F	B31_F	B27_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M
nomCol	Gene	B9_F	B31_F	B27_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M
miR-ENSGACG00000022167-5p	miR-ENSGACG00000022167-5p	23	4	11	423	192	528	11	50	0	0	0	0	0	0	23	18	2	0	724	99	757	340	139	274	1310	221	0	0	0
miR-ENSGACG00000022167-3p	miR-ENSGACG00000022167-3p	0	0	0	248	145	39	25	189	0	0	0	0	0	0	0	0	0	0	84	327	581	111	0	219	208	55	0	0	0
miR-99a-5p	miR-99a-5p	6502	4184	19219	28722	17763	17890	15332	11023	1262	3334	7995	483	290	3257	21818	12354	19378	27641	29281	8309	16561	13503	9032	10627	20504	22558	648	713	1156
miR-99a-3p	miR-99a-3p	1	0	38	0	0	0	0	0	0	0	0	0	0	0	17	0	10	45	0	0	0	0	0	0	0	0	0	0	0
miR-92a-3p	miR-92a-3p	495068	307391	642180	190588	165790	236304	646080	182022	80127	678029	714525	48906	65392	23330	763324	237197	289043	457723	269996	193519	125756	172328	55290	93309	207015	247822	266948	55441	121523
miR-92a-2-5p	miR-92a-2-5p	66	191	316	0	0	0	0	0	183	3191	1070	87	198	38	301	87	202	373	0	0	0	0	0	0	0	0	701	20	145
miR-92a-1-5p	miR-92a-1-5p	463	304	951	568	238	245	520	213	0	0	0	0	0	0	887	246	284	760	367	317	266	299	132	122	277	296	0	0	0
miR-9-5p	miR-9-5p	9	17	164	328	344	1957	2647	0	1	522	123	41	0	29	95	65	55	150	39	2700	34	85	1004	271	147	123	111	0	0
miR-9-1/3/5/6-3p	miR-9-1/3/5/6-3p	6	15	125	43	105	604	181	11	0	0	0	6	0	0	59	81	26	88	8	392	33	8	153	131	32	152	0	0	0
miR-8159-5p	miR-8159-5p	67	0	20	41	3369	147	0	0	28	0	26	0	0	0	22	18	37	39	0	9733	2	0	1069	1	37	0	0	0	0
miR-737-5p	miR-737-5p	232	168	883	1712	2811	1127	1503	163	72	1302	1353	80	186	138	518	268	1139	1782	118	741	457	896	55	703	459	459	137	12	232
miR-733-1-5p	miR-733-1-5p	0	12	10	0	0	0	0	0	0	0	0	0	0	0	0	26	0	1	0	0	0	0	0	0	0	0	0	0	0
miR-730-5p	miR-730-5p	29	15	8	6	5	16	0	0	23	0	0	1	8	143	10	9	21	26	14	0	7	7	0	9	24	11	11	80	4
miR-728b-5p	miR-728b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0
miR-727b-5p	miR-727b-5p	46	22	301	18	0	0	0	0	0	0	0	0	0	0	122	154	602	1122	13	0	2	0	0	0	6	0	0	0	0
miR-727b-3p	miR-727b-3p	41	14	163	0	0	0	0	0	0	0	0	0	0	0	86	94	727	534	0	0	0	0	0	0	0	0	0	0	0
miR-725-3p	miR-725-3p	68	425	993	50	1626	3388	2197	1050	234	183	100	42	12	81	1145	631	356	2142	1031	500	733	1416	159	2396	477	5546	32	50	56
miR-724-5p	miR-724-5p	50	25	123	1299	60	130	9	0	0	0	197	0	0	6	37	68	94	115	164	41	629	99	63	42	111	1659	0	115	0
miR-722-3p	miR-722-3p	52	20	200	209	2201	256	85	41	0	13	12	0	0	30	353	125	241	267	55	143	14	145	62	128	29	21	0	90	13
miR-7147-5p	miR-7147-5p	32	18	24	0	3	0	84	0	0	0	0	0	0	0	0	0	11	17	0	0	1	0	0	0	12	0	0	0	0
miR-7133-3p	miR-7133-3p	352	111	214	432	401	457	2046	166	3	19	0	1	11	0	87	82	225	436	96	110	224	238	0	169	433	302	0	0	0
miR-7132b-5p	miR-7132b-5p	1483	462	348	0	0	0	0	0	0	0	0	0	0	0	234	146	203	348	0	0	0	0	0	0	0	0	0	0	0
miR-7132a-5p_gac-miR-7132b-5p	miR-7132a-5p_gac-miR-7132b-5p	656	257	644	657	937	720	1454	96	1037	13193	5328	345	867	463	87	188	87	198	245	1467	411	721	148	598	544	898	2192	853	1470
miR-7132a-5p	miR-7132a-5p	553	164	104	0	0	0	0	0	0	0	0	0	0	0	56	66	55	56	0	0	0	0	0	0	0	0	0	0	0
miR-7-5p	miR-7-5p	71	10	211	1005	614	6012	2524	220	3	961	673	36	16	33	80	92	328	361	3164	587	145	187	195	128	121	457	95	0	122
miR-551a-3p	miR-551a-3p	235	203	909	330	58	185	184	16	121	311	470	66	25	125	1227	449	659	987	123	51	42	144	764	213	305	151	8	43	10
miR-499a-5p	miR-499a-5p	29	48	413	15990	144	100	177	117	242	0	91	0	2	0	878	249	1821	3324	151	20	2721	330	257	758	607	1357	18	10	10
miR-489-5p	miR-489-5p	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
miR-489-3p	miR-489-3p	149	44	474	149	33	82	142	35	104	1	0	3	0	31	397	155	349	489	99	125	56	43	0	21	153	234	0	0	0
miR-460-5p	miR-460-5p	0	63	174	11	712	42	16	0	16	43	7	0	0	3	52	29	7	110	0	208	3	13	70	0	14	0	35	0	0
miR-458-3p	miR-458-3p	47	5	61	40	77	0	0	0	0	0	0	0	2	0	29	41	59	52	24	39	4	19	121	30	17	17	0	0	0
miR-456-3p	miR-456-3p	350	440	859	540	1204	728	594	309	100	973	399	19	40	90	597	252	550	855	294	1046	210	346	303	321	267	345	67	88	87
miR-455-5p	miR-455-5p	214	80	685	640	515	171	196	51	20	0	142	14	2	67	340	232	247	395	241	165	234	270	228	242	157	136	3	0	1
miR-455-3p	miR-455-3p	447	289	656	612	682	714	318	91	50	98	135	5	0	83	803	443	743	714	169	181	335	519	213	496	431	285	0	0	116
miR-454b-3p	miR-454b-3p	96	28	231	77	101	62	0	0	3	469	0	0	0	0	226	125	225	655	29	41	32	48	0	36	13	6	0	0	0
miR-451-5p	miR-451-5p	182963	40515	187721	157458	127905	36596	42204	24853	14753	181682	64519	16367	12334	31886	365810	130219	226646	422315	61040	53930	49250	39381	14792	42510	37214	107352	17662	6238	19894
miR-429a-3p	miR-429a-3p	15	272	170	231	613	655	378	41	84	211	255	8	4	53	207	88	72	617	439	23	245	550	109	261	240	680	25	6	105
