files	group	description
/data/230419_SAV_Geffroy_B3/RawCounts/B9_P_F.txt	F	B9_F
/data/230419_SAV_Geffroy_B3/RawCounts/B31_P_F.txt	F	B31_F
/data/230419_SAV_Geffroy_B3/RawCounts/B27_P_F.txt	F	B27_F
/data/230419_SAV_Geffroy_B3/RawCounts/O25_P_F.txt	F	O25_F
/data/230419_SAV_Geffroy_B3/RawCounts/O32_P_F.txt	F	O32_F
/data/230419_SAV_Geffroy_B3/RawCounts/O55_P_NA.txt	F	O55_F
/data/230419_SAV_Geffroy_B3/RawCounts/O59_P_F.txt	F	O59_F
/data/230419_SAV_Geffroy_B3/RawCounts/O63_P_F.txt	F	O63_F
/data/230419_SAV_Geffroy_B3/RawCounts/T9_P_F.txt	F	T9_F
/data/230419_SAV_Geffroy_B3/RawCounts/T26_P_F.txt	F	T26_F
/data/230419_SAV_Geffroy_B3/RawCounts/T31_P_F.txt	F	T31_F
/data/230419_SAV_Geffroy_B3/RawCounts/T32_P_F.txt	F	T32_F
/data/230419_SAV_Geffroy_B3/RawCounts/T13_P_F.txt	F	T13_F
/data/230419_SAV_Geffroy_B3/RawCounts/T23_P_F.txt	F	T23_F
/data/230419_SAV_Geffroy_B3/RawCounts/B11_P_M.txt	M	B11_M
/data/230419_SAV_Geffroy_B3/RawCounts/B14_P_M.txt	M	B14_M
/data/230419_SAV_Geffroy_B3/RawCounts/B17_P_M.txt	M	B17_M
/data/230419_SAV_Geffroy_B3/RawCounts/B19_P_M.txt	M	B19_M
/data/230419_SAV_Geffroy_B3/RawCounts/O49_P_M.txt	M	O49_M
/data/230419_SAV_Geffroy_B3/RawCounts/O51_P_M.txt	M	O51_M
/data/230419_SAV_Geffroy_B3/RawCounts/O29_P_M.txt	M	O29_M
/data/230419_SAV_Geffroy_B3/RawCounts/O33_P_M.txt	M	O33_M
/data/230419_SAV_Geffroy_B3/RawCounts/O38_P_M.txt	M	O38_M
/data/230419_SAV_Geffroy_B3/RawCounts/O39_P_M.txt	M	O39_M
/data/230419_SAV_Geffroy_B3/RawCounts/O46_P_F.txt	M	O46_M
/data/230419_SAV_Geffroy_B3/RawCounts/O53_P_M.txt	M	O53_M
/data/230419_SAV_Geffroy_B3/RawCounts/T1_P_M.txt	M	T1_M
/data/230419_SAV_Geffroy_B3/RawCounts/T3_P_M.txt	M	T3_M
/data/230419_SAV_Geffroy_B3/RawCounts/T12_P_M.txt	M	T12_M
