Gene	B43_F	B54_F	B60_F	T44_F	T47_F	C17_F	C19_F	C31_F	B48_M	B49_M	B59_M	T41_M	T43_M	T45_M	T63_M	T69_M	C13_M	C15_M	C20_M
miR-ENSGACG00000022167-5p	4.6386281099901	22.0359754464404	55.8803937880339	0	0	0	0	0	51.9803768180499	2.71855747988613	0	0	0	0	0	0	0	30.9557060385989	0
miR-99a-5p	7710.72524112068	5652.22770201197	7558.75459972806	4117.22259211	2524.36954231529	1560.13025078844	2124.51514195209	2352.80930984987	7901.01727634359	3659.85800729671	3116.04307997148	4208.23613388944	4215.48705863011	6703.79124774555	922.155037150214	2310.01300530304	1445.87018038677	1232.72500491487	1250.70008839033
miR-92a-3p	194921.779793369	163969.693296963	121832.297216465	433682.116679877	172699.224657682	157715.372443105	89464.6511399862	163113.852699228	213887.699411427	130498.235067604	75222.1766535562	143661.732725858	110976.772565594	173103.064503343	430271.675037234	165085.040905423	158994.904625743	149295.930701269	131720.144471697
miR-92a-2-5p	106.688446529772	112.383474776846	432.141711960796	688.877720599019	278.438165251321	401.103355961438	109.232406675283	25.8921598691612	124.175344620897	133.209316514421	260.604322335745	215.979272382555	162.167294254647	300.528238568377	941.706027337145	543.295102565318	20.0897368750102	73.6057899140018	44.1250521188277
miR-92a-1-5p	479.76667880469	517.84542299135	1587.00318358016	0	0	424.096541971967	581.469477958324	523.471927789563	479.374586210905	487.981067639561	1042.41728934298	0	0	0	0	0	422.475348989186	288.232018448287	497.142253872125
miR-9-5p	0	48.4791459821689	104.31006840433	14.0382650485972	8.18935780150945	449.644526428109	464.513567780748	433.412241288133	20.2145909847972	53.0118708577796	159.725229818682	55.6746568808365	33.6410876379322	41.7316934675369	162.924918224419	65.6649718833166	1059.4381828498	2451.69191825703	187.28633232658
miR-9-1/3/5/6-3p	9.9399173785502	0	22.3521575152136	0	0	0	0	0	17.3267922726833	6.1167543297438	112.087880574514	0	0	0.300228010557819	0	0	0	0	0
miR-8159-5p	82.8326448212517	4.40719508928809	80.095231096182	31.0847297504652	14.3313761526415	0	0	0	2.88779871211388	14.2724267694022	39.2307582010798	14.398618158837	1.72518398143242	20.7157327284895	0	3.66843418342551	0	0	0
miR-737-5p	51.024909209891	114.58707232149	31.6655564798859	62.1694595009304	47.0888073586793	204.383875649141	101.50890317299	36.0238746005721	210.809305984314	180.104433042456	30.8241671579913	138.226734324836	235.487613465525	71.7544945233188	247.645875701118	108.218808411053	353.343019154592	692.71991068598	316.719818541808
miR-733-1-5p	0	8.81439017857617	13.0387585505413	0	0	17.8835891192998	150.056639473116	0	11.5511948484555	0	0	0	0	0	0	0	0	137.580915727106	28.4361446988001
miR-730-5p	7.95193390284016	8.81439017857617	0	66.1803923719581	30.7100917556604	0	0	0	0	8.1556724396584	0	13.4387102815812	77.6332791644588	62.1471981854686	22.8094885514187	102.349313717572	0	0	40.6931036206966
miR-727b-5p	82.1699836626817	79.3295116071856	44.7043150304272	0	0	96.2307414514703	25.9289046148399	23.6406677066254	51.9803768180499	35.3412472385197	56.0439402872569	0	0	0	0	0	235.168096360414	252.46098035924	29.4167014125518
miR-727b-3p	39.0970083556308	33.0539631696606	26.0775171010825	0	0	139.662315026913	46.3410210137564	177.867880840325	40.4291819695944	67.2842976271818	19.6153791005399	0	0	0	0	0	190.261625698626	150.651102721181	58.8334028251036
miR-725-3p	170.966578911064	396.647558035928	74.5071917173786	354.967559085957	28.6627523052831	5308.01957050455	1565.66449567905	37.14962068184	25.990188409025	345.256799945539	521.208644671489	719.930907941852	1782.11505281969	102.978207621332	136.856931308512	294.942108347411	21.8623607169229	6200.77187182068	9980.10623256507
miR-724-5p	11.2652396956902	11.0179877232202	7.45071917173786	0	0	219.712666322826	4262.2705756224	550.489833739993	23.1023896969111	25.8262960589183	22.4175761149028	0	11.2136958793107	11.708892411755	0	0.733686836685102	257.621331691308	138.956724884377	264.750312712966
miR-722-3p	74.8807109184115	4.40719508928809	0	0	10.2366972518868	65.5731601040993	123.576056036684	0	25.990188409025	25.1466566889467	22.4175761149028	18.2382496678602	12.9388798607431	29.1221170241085	0	33.0159076508296	53.1787152573801	108.001018845778	142.671001850876
miR-7147-5p	9.27725621998019	4.40719508928809	29.8028766869514	0	0	0	0	0	14.4389935605694	2.71855747988613	0	0	0	0	0	0	0	67.414648706282	0
miR-7133-3p	66.9287770155714	72.7187189732534	42.8416352374927	36.0983958392499	0	0	10.4818976102544	27.0179059504291	167.492325302605	87.6734787263278	260.604322335745	91.1912483393012	38.8166395822294	12.0091204223128	0	6.23633811182337	121.720170478003	57.7839846053846	158.359909270904
miR-7132b-5p	312.776066845046	550.899386161011	238.423013495612	0	0	75.7923538865563	707.803928102969	283.688012479505	424.506410680741	403.705785763091	815.439331179588	0	0	0	0	0	575.511874007646	908.034043798901	241.707229939801
miR-7132a-5p_gac-miR-7132b-5p	281.630992392256	332.743229241251	50.2923544092306	1991.42817046529	708.379449830568	309.982211401196	104.818976102544	1.12574608126788	239.687293105452	201.852892881546	137.307653703779	1128.85166365282	1876.13757980775	1488.53047634567	4643.36016939596	1595.7688697901	220.396231011142	145.835770670733	199.543291248476
miR-7132a-5p	113.315058115472	130.012255133999	68.9191523385752	0	0	51.9475683941566	59.0296339103801	177.867880840325	77.9705652270749	125.053644074762	165.329623847408	0	0	0	0	0	60.2692106250307	363.901522098196	55.4014543269725
miR-7-5p	41.7476529899109	52.886341071457	257.049811424956	80.2186574205553	112.603669770755	0	349.21269406795	350.10703127431	46.2047793938222	47.5747558980074	103.681289531425	31.6769599494415	53.480703424405	53.4405858792918	123.822937850559	81.0723954537038	54.3604644853218	34.3952289317765	58.3431244682277
