Gene	B9_Immature	B31_Immature	B27_Immature	B11_Immature	B14_Immature	B17_Immature	B19_Immature	B43_Mature	B54_Mature	B60_Mature	B48_Mature	B49_Mature	B59_Mature
miR-ENSGACG00000022167-5p	23	4	11	23	18	2	0	7	10	30	18	4	0
miR-ENSGACG00000022167-3p	0	0	0	0	0	0	0	7	0	0	0	0	0
miR-99a-5p	6502	4184	19219	21818	12354	19378	27641	11636	2565	4058	2736	5385	1112
miR-99a-3p	1	0	38	17	0	10	45	14	3	0	0	0	1
miR-92a-3p	495068	307391	642180	763324	237197	289043	457723	294150	74410	65407	74066	192011	26844
miR-92a-2-5p	66	191	316	301	87	202	373	161	51	232	43	196	93
miR-92a-1-5p	463	304	951	887	246	284	760	724	235	852	166	718	372
miR-9-5p	9	17	164	95	65	55	150	0	22	56	7	78	57
miR-9-1/3/5/6-3p	6	15	125	59	81	26	88	15	0	12	6	9	40
miR-8159-5p	67	0	20	22	18	37	39	125	2	43	1	21	14
miR-737-5p	232	168	883	518	268	1139	1782	77	52	17	73	265	11
miR-733-1-5p	0	12	10	0	26	0	1	0	4	7	4	0	0
miR-730-5p	29	15	8	10	9	21	26	12	4	0	0	12	0
miR-728b-5p	0	0	0	0	0	27	0	0	0	0	0	0	0
miR-727b-5p	46	22	301	122	154	602	1122	124	36	24	18	52	20
miR-727b-3p	41	14	163	86	94	727	534	59	15	14	14	99	7
miR-725-3p	68	425	993	1145	631	356	2142	258	180	40	9	508	186
miR-724-5p	50	25	123	37	68	94	115	17	5	4	8	38	8
miR-722-3p	52	20	200	353	125	241	267	113	2	0	9	37	8
miR-7147-5p	32	18	24	0	0	11	17	14	2	16	5	4	0
miR-7133-3p	352	111	214	87	82	225	436	101	33	23	58	129	93
miR-7132b-5p	1483	462	348	234	146	203	348	472	250	128	147	594	291
miR-7132a-5p_gac-miR-7132b-5p	656	257	644	87	188	87	198	425	151	27	83	297	49
miR-7132a-5p	553	164	104	56	66	55	56	171	59	37	27	184	59
miR-7-5p	71	10	211	80	92	328	361	63	24	138	16	70	37
miR-551a-3p	235	203	909	1227	449	659	987	1850	176	21	35	1472	35
miR-499a-5p	29	48	413	878	249	1821	3324	116	121	28	117	378	11
miR-489-5p	0	0	30	0	0	1	0	0	0	0	0	0	0
miR-489-3p	149	44	474	397	155	349	489	117	29	18	13	142	28
miR-460-5p	0	63	174	52	29	7	110	183	18	0	11	78	29
miR-458-3p	47	5	61	29	41	59	52	62	0	0	9	27	2
miR-456-3p	350	440	859	597	252	550	855	300	131	90	93	316	137
miR-455-5p	214	80	685	340	232	247	395	81	25	25	26	101	4
miR-455-3p	447	289	656	803	443	743	714	330	54	0	19	209	28
miR-454b-3p	96	28	231	226	125	225	655	6	8	6	5	13	0
miR-451-5p	182963	40515	187721	365810	130219	226646	422315	160611	43822	66087	75751	61682	7810
miR-429a-3p	15	272	170	207	88	72	617	39	32	0	4	79	45
miR-425-5p	6660	12172	16992	21252	7210	13209	18050	8259	2983	2304	2020	5750	1054
miR-375a-3p	653	10375	6353	4132	2267	1086	5520	967	3111	1259	136	1884	2528
miR-365-2b-5p	41	40	349	256	117	218	257	89	42	9	9	101	14
miR-365-2b-3p	3757	644	9382	12096	6294	9031	12245	1655	509	448	512	854	117
miR-34a-5p	23	12	28	0	4	28	35	29	2	0	5	0	9
miR-338-3p	22	7	87	160	96	139	532	54	25	64	32	69	12
miR-338-1b-5p	0	8	26	8	0	2	12	0	1	6	1	0	0
miR-338-1a-5p	18	0	111	28	10	75	184	38	6	27	4	1	0
miR-31a-5p	55	98	347	189	277	61	191	141	170	35	43	155	65
miR-30e-5p	1445	459	800	1534	458	1369	2196	882	214	212	613	1225	181
miR-30e-3p	2898	1438	3716	7401	2193	6021	6918	1875	505	763	540	1739	468
miR-30c-2-5p	6302	3035	6110	7678	4274	7191	11224	6971	1505	1175	1041	5949	968
miR-30c-1-5p_gac-miR-30c-2-5p	63	53	50	111	79	74	144	45	18	10	30	88	2
miR-30c-1-5p	2028	1034	2310	3062	1378	3612	4401	2736	466	355	261	1737	459
miR-30bb-5p	634	205	757	1110	655	959	1727	802	163	114	229	578	66
miR-30bb-3p	17	0	45	92	6	61	81	16	12	20	4	67	20
miR-30a-5p	33090	12623	37527	47111	22315	35134	48410	28490	5939	10513	8502	18234	4266
miR-301b-5p	0	0	0	0	0	12	6	0	3	0	1	9	3
miR-29b-1a/2a-3p	20	0	0	5	0	25	54	32	13	9	13	53	18
miR-29a-3p_gac-miR-29b-1a/2a-3p	0	0	18	0	0	0	0	0	0	0	2	0	0
miR-29a-3p	149	25	87	193	45	79	266	34	31	16	96	75	39
miR-27e-3p	633	721	4488	2872	1488	2301	5321	802	265	258	126	523	292
miR-27c-1-5p	369	301	933	544	378	531	743	577	231	576	146	953	230
miR-27c-1-3p	5459	2331	5015	5233	2529	4877	6460	3245	1062	2032	2012	5443	1314
miR-27b-5p	58	69	294	239	105	60	334	35	13	52	14	94	8
miR-27b-3p	1586	1586	6628	6806	2738	5756	7893	2292	522	1049	502	1483	489
miR-27a-5p	52	74	64	39	39	56	111	29	21	31	5	151	53
miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	23	12	77	53	48	29	63	0	8	5	20	14	2
miR-27a-3p	85	62	136	96	74	91	352	56	68	35	40	228	84
miR-26b-3p	52	19	51	140	126	187	319	81	17	35	34	0	1
miR-26-5p	61036	25088	77661	96437	41988	94771	145547	43621	9583	13135	15037	29756	5361
miR-24-6-5p	20	5	10	0	13	23	37	14	2	4	2	129	18
miR-24-4a-5p	0	0	36	0	0	0	0	0	0	0	0	0	0
miR-24-3p	2075	1195	3209	2033	920	1781	2351	1152	500	253	756	2156	335
miR-24-2-5p	497	456	741	390	212	454	665	411	129	285	110	454	117
miR-23b-2-5p	29	148	302	224	75	81	231	52	17	39	6	173	24
miR-23b-2-3p	1598	932	3876	3741	1663	3029	6523	1223	327	313	316	775	82
miR-23a-3p_gac-miR-23b-2-3p	139	24	181	156	33	90	162	29	11	33	30	55	13
miR-23a-3p	37845	25423	46908	39956	26539	38775	64487	28020	12713	12035	10979	36111	6034
miR-23a-3-5p	39	88	196	72	70	47	168	31	25	5	4	55	18
miR-23a-2-5p	134	187	253	109	58	118	209	94	62	45	25	197	34
miR-23a-1-5p	84	53	360	197	99	175	230	17	3	35	0	43	4
miR-22b-5p	747	725	3857	9248	3205	4438	6747	1020	277	880	255	677	163
miR-22b-3p	100	10	144	345	143	194	356	41	6	0	20	54	11
miR-22a-5p	325	348	2192	2557	1261	3655	3806	1334	211	241	98	627	128
miR-22a-3p	41620	21485	180264	124877	75817	113073	149599	82635	10918	56301	8311	71719	21266
miR-223-3p	29905	15453	21017	18594	10748	22578	31659	18402	9652	7249	7057	20374	3270
miR-222c-5p	26	0	41	97	2	64	93	14	2	0	1	16	1
miR-222a-5p	103	0	35	62	13	98	58	4	3	41	8	134	42
miR-222-3p	3431	1373	4151	2638	2015	3452	6368	2839	799	176	464	2214	346
miR-221a-5p	0	29	40	43	26	11	107	23	6	0	3	0	0
miR-221-3p	2067	658	2817	2191	1165	2379	2963	1713	406	194	254	1037	202
miR-21a-3p	3	0	18	0	6	2	0	12	16	11	8	46	13
miR-218b-5p	8	6	6	0	0	3	4	0	0	0	1	10	0
miR-218a-2-5p_gac-miR-218b-5p	0	0	35	24	4	2	10	3	0	0	3	19	2
miR-218a-2-5p	195	240	1026	687	563	1151	1464	89	65	39	16	48	43
miR-2188-5p	58582	16308	51136	76694	23710	41902	92059	20534	8052	5434	16273	6677	741
miR-2188-3p	7747	4585	19847	24030	6678	14646	21202	12415	4628	5349	7069	11649	770
miR-217a-5p	33	7	43	96	26	73	168	60	8	0	11	47	0
miR-216b-5p	0	0	19	9	2	60	40	19	0	0	1	0	0
miR-214a-3p	13855	11298	39940	47517	20628	43293	71220	7098	2451	3183	1932	3545	1122
miR-212b-5p	19	0	10	7	0	0	8	4	5	0	0	0	10
miR-212a-5p	0	8	0	0	0	36	1	1	10	0	0	0	4
miR-210-5p	839	454	1706	1707	787	1720	1837	3353	718	634	868	1475	296
miR-210-3p	181	10	85	65	19	125	93	240	50	49	113	139	41
miR-21-5p	53203	20732	76271	67561	34754	68375	111711	32689	16892	27404	10868	43693	19408
miR-20b-5p	0	1	19	2	0	0	15	0	0	0	0	0	0
miR-20a-5p	265	35	72	60	32	164	340	37	16	0	15	121	0
miR-206-1-3p	34089	12442	119212	173346	76937	135705	181380	10671	3470	28553	3504	18292	551
miR-205-1-5p	1186	16875	25948	6828	5417	2660	19519	1556	2486	122	263	2213	506
miR-204-2b-3p	43	73	240	53	63	154	270	14	9	0	6	5	0
miR-204-1/2b-5p	14270	7045	44703	16614	20305	19429	68742	1802	1281	501	450	1217	604
miR-200b-5p	0	55	1	0	18	3	72	20	6	0	0	33	12
miR-200b-3p	348	9118	6259	5390	2793	2196	19407	743	854	152	36	1782	822
miR-200a-3p	85	945	1045	671	328	262	2078	273	344	65	32	710	801
miR-19b-3p	132	47	135	221	27	186	431	39	8	0	38	39	0
miR-199-5p	3194	1882	8149	8340	4664	8874	12073	3057	633	908	785	1153	475
miR-199-3p	7705	7395	47993	38454	23421	38318	60546	12214	2994	2104	1549	6155	1418
miR-196d-5p	113	53	306	579	230	564	666	16	13	15	6	47	1
miR-196d-3p	95	25	328	268	117	354	365	28	31	20	8	0	3
miR-196a-5p	218	182	2318	1700	1087	2023	3257	77	32	51	13	116	19
miR-194a-5p	47	0	23	31	13	2	15	1108	14	15	15	107	24
miR-194a-3p	0	0	0	0	0	0	0	40	0	0	0	0	0
miR-193a-2-5p	555	349	2497	1565	873	1435	1706	334	89	245	91	331	74
miR-191-5p	14671	29021	41459	44924	17060	31283	44013	24824	11424	11335	5395	16400	4596
miR-18c-5p	45	26	52	38	44	74	179	24	7	36	2	17	24
miR-18a/b-5p	128	8	0	6	0	27	76	24	1	12	11	20	11
miR-18a-3p	93	66	34	125	77	83	142	107	21	0	15	43	0
miR-184-3p	83	1336	3042	1246	964	553	5469	358	292	129	20	1397	710
miR-183-5p	648	211	764	239	278	207	499	194	150	391	38	237	167
miR-182b-5p	65	20	2	32	10	8	20	0	9	33	8	13	0
miR-182a-5p_gac-miR-182b-5p	8	0	40	23	19	0	53	4	1	0	2	23	3
miR-182a-5p	55	40	183	101	58	26	120	22	17	102	12	54	44
miR-181b-2/3-5p_gac-miR-181c-5p	1078	719	3660	1404	1155	2098	2412	817	197	206	111	469	181
miR-181b-1-5p	692	611	2085	776	718	978	1294	350	80	89	51	205	94
miR-181a-5p	13059	7350	26278	13517	11363	13823	15815	7169	1470	2420	1701	5255	1970
miR-181a-3-3p	567	311	1196	806	437	585	835	344	153	480	64	709	278
miR-181a-2-3p_gac-miR-181a-3-3p	30	1	44	22	23	10	63	64	6	18	0	64	6
miR-181a-2-3p	1110	595	1868	1885	979	1230	1801	1757	297	923	137	1689	463
miR-181a-1-3p	270	123	459	246	204	212	234	169	91	350	56	230	180
miR-17a-5p	260	28	63	143	69	124	254	9	10	0	30	33	0
miR-16c-5p	44890	39092	78794	78510	34082	82108	103292	25529	10028	8677	8391	39682	4641
miR-16a-5p_gac-miR-16c-5p	2462	1205	4632	5249	2035	4326	6947	1855	586	483	1017	2448	268
miR-16a-5p	3650	1774	5343	5991	2608	5945	13686	1435	540	696	1013	2255	306
miR-15c-5p	105615	75744	136626	156659	53428	133844	174583	61122	19222	16827	18807	44306	5034
miR-15c-3p	49	6	90	21	11	3	26	15	1	7	5	6	0
miR-15b-1-5p	2165	182	662	930	226	485	2224	216	31	54	148	90	14
miR-15a-2-5p	8527	4563	9481	11499	4082	11350	15401	5950	2139	2316	3857	6704	1298
miR-155-5p	457	155	315	176	160	100	267	196	87	151	75	208	164
miR-152a-5p	229	69	513	546	248	411	647	385	20	109	32	186	80
miR-152a-3p	325	86	705	719	260	527	1163	181	52	69	82	330	88
miR-150-5p	1524	14023	2157	806	479	1106	2074	2088	2587	488	601	2260	2126
miR-148a-3p	323	121	860	857	293	576	1137	292	56	75	100	164	82
miR-146a-5p	4531	2093	8345	5780	3307	3962	9860	4688	1519	935	710	14288	1576
miR-146a-3p	83	61	212	149	87	70	256	160	51	86	17	115	59
miR-145-5p	435	212	1075	2337	543	1538	2921	2163	296	87	303	1477	37
miR-145-3p	135	82	972	1022	367	888	1178	1698	119	160	67	1860	174
miR-144-5p	5758	942	6588	6634	2073	4356	8552	1265	610	1460	1161	2462	160
miR-144-3p	802	49	262	940	110	251	1686	294	66	68	575	397	26
miR-143-5p	0	5	0	15	0	11	21	13	0	11	0	8	0
miR-143-3p	4068	1799	10615	10945	3838	7795	18067	25105	1733	3487	2049	78180	3852
miR-142-5p	481	113	316	310	124	180	574	221	116	403	321	913	486
miR-142-3p	514	61	54	120	14	89	219	16	20	4	94	154	10
miR-140-5p	24	2	73	191	43	53	161	6	0	0	17	29	3
miR-140-3p	3562	992	3467	13885	2621	3559	5995	1501	382	979	592	1106	258
miR-139-5p	320	368	564	785	250	1302	1180	1306	194	84	92	306	89
miR-1388-3p	800	252	575	341	194	135	340	188	128	313	187	312	433
miR-135a-1-5p	0	1	0	20	2	25	1	0	3	0	0	0	0
miR-133b-3p	231	8	309	816	409	289	447	87	4	22	42	20	9
miR-133a-5p	117	18	235	377	147	572	569	33	15	16	29	2	0
miR-133a-3p_gac-miR-133b-3p	273	15	130	565	223	181	459	50	28	1	102	29	0
miR-133a-3p	25269	6194	80288	120908	58756	72720	68731	12257	2110	2215	6713	6410	65
miR-130c-3p	0	0	0	2	0	7	39	0	0	0	1	3	4
miR-130c-2-5p	38	8	106	98	60	77	100	11	9	0	2	15	9
miR-130b-5p	1915	1609	5477	5940	3488	4722	8025	3555	688	929	251	1530	699
miR-130b-3p	5	4	28	12	2	26	115	0	5	0	2	0	0
miR-1306-5p	189	264	364	509	169	389	743	197	55	75	74	79	0
miR-129-1b/2-3p	0	6	0	0	0	11	8	5	1	0	0	5	0
miR-129-1a/2-5p	45	10	23	114	20	88	146	0	17	13	2	17	9
miR-128-2-3p	16671	13452	33520	35724	11228	26176	36113	12709	5006	11055	3279	15563	3056
miR-126b-5p	415	195	1459	1340	806	1808	4698	996	214	137	162	1196	433
miR-126b-3p	9514	4156	24707	15808	12343	22921	42793	15499	3504	4867	2149	35719	6821
miR-125b-2/3-5p	29723	16167	62402	93186	38559	82936	142062	42255	11648	19723	8140	20592	5333
miR-125b-2-3p	88	150	374	357	143	248	433	146	65	161	16	327	54
miR-125a-5p	24539	18885	52704	63724	25940	36991	67248	34077	8934	21452	4588	28703	7379
miR-125a-1-3p_gac-miR-125a-2-3p	3	59	101	86	52	69	64	11	0	0	3	33	0
miR-122-5p	159	885	1515	517	193	751	969	166147	2589	8669	1782	8977	5351
miR-122-3p	0	0	0	0	0	14	0	1049	16	0	7	34	13
miR-10c-5p	1188	631	2659	3418	1631	2675	4370	2608	493	1358	239	4118	1557
miR-10b-5p	14920	3952	46263	45320	24482	31178	58884	7678	2313	5791	1804	13717	4290
miR-10545-5p	11	3	0	0	39	2	22	0	1	0	0	0	0
miR-103-3p	1329	895	1503	1754	706	1949	2858	1230	357	334	328	1092	198
miR-101b-5p	832	334	753	1205	365	947	1554	595	168	102	156	257	23
miR-101b-3p	39	12	57	89	8	68	113	14	4	8	14	20	7
miR-101a-3p	4454	1505	8836	13084	3034	9494	22038	2531	1081	3015	2042	5311	1743
miR-100-2-5p	45970	21619	160377	167155	71533	111928	147345	63535	10946	51662	7281	47042	10875
miR-1-3p	32420	10103	162842	160586	95516	113217	194971	11169	2024	43972	5009	36032	1201
let-7j-5p	1484	1346	3804	3055	1724	2967	4847	1596	630	1043	587	3250	692
let-7j-3p	8	29	11	0	9	3	9	9	5	0	13	28	1
let-7i-5p	806	556	3069	1834	1002	2205	2555	2152	277	898	143	1582	373
let-7h-1-5p	4531	3550	16758	15470	7507	11491	18261	4334	1544	6023	891	7502	2960
let-7h-1-3p	538	645	1145	1304	796	1092	1514	949	144	68	103	267	101
let-7g-5p	34672	21099	84733	73435	30665	55441	80900	25485	6144	33426	6444	30203	11551
let-7f-5p	4295	1880	9200	7417	3290	6137	10536	2389	833	3352	498	6344	2852
let-7e-5p	65695	35487	120603	106227	46845	90496	136000	36337	11538	104284	9081	120315	42816
let-7d-5p	12253	12723	75980	56512	26635	51247	79354	13019	3932	14520	1859	26772	6860
let-7c-2/d-3p	29	8	103	87	35	70	188	100	7	5	7	75	14
