Gene	B9_Immature	B31_Immature	B27_Immature	B11_Immature	B14_Immature	B17_Immature	B19_Immature	B43_Mature	B54_Mature	B60_Mature	B48_Mature	B49_Mature	B59_Mature
miR-ENSGACG00000022167-5p	3.72034113428209	2.16566042377853	1.87152389797374	2.73872538102033	3.50347723154207	0.662384278823245	-0.0600205376309976	2.37151615444976	4.33860736090189	5.66054206592518	5.43397976072941	1.59086503309219	-0.0600205376309976
miR-99a-5p	11.7548348463152	11.8496748525973	12.2040338884781	12.4048176257604	12.7989389048267	12.5606968479117	12.3034761932192	12.7748868648509	12.2716277604297	12.7127881793438	12.6497499292063	11.4329990617868	11.3665627566212
miR-99a-3p	0.575905062636009	-0.0600205376309976	3.36265370972256	2.37400719560471	-0.0600205376309976	2.02732348568495	3.19962555308263	3.23119324246378	2.75301505327347	-0.0600205376309976	-0.0600205376309976	-0.0600205376309976	1.73677128655873
miR-92a-3p	18.0050389349032	18.0483532005614	17.2661218864003	17.5332744844565	17.0617904329921	16.45927567396	16.3528120011185	17.4345821316693	17.129823286759	16.7231990838302	17.4082138056879	16.5886112943478	15.9594312301941
miR-92a-2-5p	5.17109195798879	7.40425440088038	6.29500881881587	6.24333482247501	5.67631692660819	5.99835938469849	6.11186234895616	6.61350168999051	6.63304108865955	8.58761166573956	6.67158666944167	6.66616908966951	7.79251186587555
miR-92a-1-5p	7.9482491092356	8.07171313780436	7.87271305300832	7.79038628512617	7.15828954180517	6.48363092452714	7.12846055050075	8.77139821010926	8.82617395389367	10.4617201522725	8.61026708984436	8.5293582541116	9.78782272152399
miR-9-5p	2.52142943915329	3.99557373245513	5.36502331573704	4.61864801609428	5.26487184141538	4.17823705486046	4.82709524293213	-0.0600205376309976	5.4383109365372	6.5482473542406	4.12085741765874	5.35733027483985	7.09018003508875
miR-9-1/3/5/6-3p	2.05221465382839	3.82652334124392	4.98369452714677	3.9654044428739	5.57522665793733	3.18015485547738	4.09165472007476	3.32087038466557	-0.0600205376309976	4.37908085391401	3.91166171012856	2.4799056771614	6.58352823938548
miR-8159-5p	5.19221362040109	-0.0600205376309976	2.5529252832024	2.68398861510995	3.50347723154207	3.643047480396	3.01616499216417	6.25243376120991	2.26721020994468	6.1716208412734	1.72580954232343	3.55308470299481	5.0955078267548
miR-737-5p	6.9569301253873	7.22026102740578	7.76613578552025	7.01885052785924	7.28106870105423	8.47578023443924	8.3522029507773	5.56470771401341	6.6607873015887	4.86188628646549	7.42955664714498	7.09775534881593	4.75858162265801
miR-733-1-5p	-0.0600205376309976	3.52877786513165	1.77135316562399	-0.0600205376309976	3.99594804621311	-0.0600205376309976	0.191681183908306	-0.0600205376309976	3.11579509884447	3.64821338733278	3.37195965936409	-0.0600205376309976	-0.0600205376309976
miR-730-5p	4.03287167766332	3.82652334124392	1.54737187319878	1.7841997300336	2.62061696797451	2.90793469285472	2.51429348695574	3.03315638472383	3.11579509884447	-0.0600205376309976	-0.0600205376309976	2.83155227676838	-0.0600205376309976
miR-727b-5p	4.66686419985101	4.34768836175293	6.2257257841178	4.96700865504874	6.48833780206943	7.5593112493303	7.68726725799832	6.24099217063815	6.13633874540781	5.34543776842439	5.43397976072941	4.78914928789439	5.59788657637432
miR-727b-3p	4.50748295038393	3.7339384485995	5.35640545955421	4.48094035705012	5.78594559501463	7.83024102965716	6.62348075568283	5.18945713288912	4.90058780452525	4.59194075308425	5.08052715609355	5.6941058468528	4.1354271841304
miR-725-3p	5.21303050943405	8.55363945932809	7.93481167052226	8.15731860796986	8.51134785534155	6.80648616543434	8.61695217084198	7.28848856776809	8.44244145478493	6.06872333851808	4.46564197611677	8.03175042793209	8.78938746369358
miR-724-5p	4.78279340318748	4.52393330080637	4.96113576955651	3.34395294375003	5.32837805339863	4.9193971083113	4.45852885034292	3.48505674082542	3.40543531497669	2.92135440613635	4.30352513298519	4.35496075480962	4.31819549764344
miR-722-3p	4.83744202439529	4.21696594956366	5.64527050238746	6.4705460654846	6.19090722601205	6.24952975300376	5.63744881513648	6.10875485136309	2.26721020994468	-0.0600205376309976	4.46564197611677	4.31831325996732	4.31819549764344
miR-7147-5p	4.16694267565239	4.0732078288331	2.77610930664574	-0.0600205376309976	-0.0600205376309976	2.13362979060868	2.02417345841668	3.23119324246378	2.26721020994468	4.77739487617953	3.66690222459564	1.59086503309219	-0.0600205376309976
miR-7133-3p	7.55457821839862	6.62711749835418	5.74107122022263	4.49690657814884	5.59257463336534	6.15171447393774	6.33412056189225	5.94916798916093	6.0125952675761	5.28551639670887	7.0997877012818	6.06974661492778	7.79251186587555
miR-7132b-5p	9.62382451845716	8.67377447879406	6.43254999962415	5.88530080144096	6.4122201892756	6.00537717413867	6.01321082728719	8.15588525585132	8.91525833785256	7.73255052818378	8.43535764470117	8.25661902551324	9.43397497059196
miR-7132a-5p_gac-miR-7132b-5p	8.4492832512575	7.83035055049725	7.31314038509628	4.49690657814884	6.77334973369525	4.81142665656662	5.2157654553171	8.00509773615759	8.18975690634374	5.51157575668608	7.61380401136518	7.26113692306425	6.87365713832613
miR-7132a-5p	8.20360417569349	7.18572195558976	4.72715487273036	3.89485459561171	5.2863526909326	4.17823705486046	3.48523089959221	6.69961058001785	6.84136695379441	5.95791934142038	6.00823186674592	6.57590962380662	7.13958873660753
miR-7-5p	5.27373743683731	3.2895273997702	5.72107125947242	4.38124427121666	5.75546385877591	6.68935979489292	6.06535056318565	5.28168406596129	5.56117967658107	7.84060339038913	5.26805074632833	5.20506409349538	6.47222303797319
miR-551a-3p	6.97532386467264	7.49167847372195	7.80782079614232	8.25678227206569	8.02195978358811	7.68919146384905	7.50323466542294	10.1229329791556	8.41011038619501	5.15764714610396	6.37770459243646	9.563160330546	6.39294312220264
miR-499a-5p	4.03287167766332	5.43592382527336	6.67708065052399	7.77573719777145	7.17566023754522	9.15128682375295	9.24966009268062	6.14603816830978	7.87139003984975	5.56295934444866	8.10707470835446	7.60712571683877	4.75858162265801
miR-489-3p	6.32430951507375	5.31329630174931	6.87408444763307	6.6382862732945	6.49757621647945	6.7780839228008	6.49776654805199	6.15825485910741	5.82913574814573	4.94170202702993	4.97675462399921	6.20637905349128	6.0751261457961
miR-460-5p	-0.0600205376309976	5.82060940657345	5.44848366146542	3.79507810951222	4.14448847060233	1.65136643557744	4.39725677911565	6.79658456128061	5.15587944207596	-0.0600205376309976	4.74371529780379	5.35733027483985	6.12504424061163
miR-458-3p	4.69673147167729	2.42454176505059	3.99382255291037	3.02959731135825	4.62097294080303	4.27432855346059	3.38779065290481	5.25917415064607	-0.0600205376309976	-0.0600205376309976	4.46564197611677	3.88921348849714	2.51261080513524
miR-456-3p	7.54639977529919	8.60355457873936	7.72655808519298	7.22221653957571	7.19282426818653	7.42967290800571	7.29728616882972	7.50484015750529	7.9854985941672	7.22714838718373	7.77716349437025	7.35005600675031	8.34937899987862
miR-455-5p	6.84135277165872	6.16004476867257	7.40166272572381	6.41700918644711	7.0743405507595	6.28456574077804	6.19342444575372	5.63632655159085	5.61890046510787	5.40296927762637	5.95461078809324	5.72243129213447	3.38595366468629
miR-455-3p	7.89771229936077	7.99897825814994	7.3396163151764	7.64750594880854	8.00262314693921	7.86151692190094	7.03902228013166	7.64165083615349	6.71472841900791	-0.0600205376309976	5.51029643499371	6.75797053670755	6.0751261457961
miR-454b-3p	5.69960676728016	4.68097248621405	5.84944783373805	5.8359435801459	6.19090722601205	6.15171447393774	6.915540696679	2.19302063934671	4.03367869871193	3.44410109713973	3.66690222459564	2.9319966297316	-0.0600205376309976
miR-451-5p	16.5689731354863	15.1248399486685	15.4917554577959	16.4720813739576	16.1966529447284	16.1084364684526	16.2366580905787	16.5616072950232	16.3659888326384	16.7381204143796	17.4406671373663	14.9503734508019	14.1782789524441
miR-429a-3p	3.15860813765575	7.91185348430348	5.41567660304524	5.71147366316407	5.69249749034288	4.54863969410855	6.83002213125439	4.61153503729649	5.96887085430485	-0.0600205376309976	3.37195965936409	5.37528141186466	6.75184901313905
