Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D25_M_I	D45_M_I	D53_M_I	D56_M_I	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a103_gac-miR-ENSGACG00000022167-5p	323	275	169	151	22	125	230	177	89	156	74	23	85	174	1679	2510	632	279	369	123	0	36	76	100	124	0	552	97	188	17	140	126	165	105	185	44	63	110
a109_gac-miR-ENSGACG00000022167-3p	118	94	51	16	45	55	28	37	40	41	31	0	13	108	97	237	21	80	0	41	0	6	8	0	128	0	19	43	28	10	12	8	49	14	32	2	6	6
a10_gac-miR-99a-5p	22496	49443	15949	20117	16867	48674	11954	12953	9956	15990	34550	9234	6869	28990	22479	10294	4547	34760	27312	6076	5137	18274	15077	25907	6578	16954	16976	24737	73914	10957	19585	19082	36703	16242	27910	70371	13548	10300
a57_gac-miR-99a-3p	12	41	0	8	0	0	0	0	3	7	32	4	0	43	0	14	0	0	0	2	0	6	0	0	0	0	2	0	26	10	11	21	38	9	1	66	0	3
a244_gac-miR-96-5p	7	0	0	0	27	0	0	0	3	0	0	0	6	7	0	0	24	93	0	4	0	4	3	0	0	0	0	0	22	2	0	0	1	0	0	0	34	0
a165_gac-miR-92a-3p	399538	636031	781279	632826	858148	455820	306417	436186	274908	1860471	991058	635762	1081384	1334883	254512	601260	226980	624539	1884054	230932	703097	1628249	1139090	660250	697040	1115988	1141147	853843	709911	734628	490084	632707	418813	365763	787878	731993	1277953	528429
a44_gac-miR-92a-2-5p	306	250	675	282	318	304	481	461	156	584	391	59	88	193	55	102	79	538	832	74	551	89	225	351	313	427	135	483	505	173	364	556	175	228	299	312	780	208
a181_gac-miR-9-5p	79	144	111	117	176	82	114	121	54	113	97	51	55	154	22	0	26	63	77	35	0	121	161	39	128	0	116	179	36	77	52	32	313	72	192	255	87	108
a46_gac-miR-9-1/3/5/6-3p	10	19	56	33	41	16	38	132	15	25	0	17	17	24	7	12	0	16	0	4	0	6	33	34	0	0	31	0	68	0	2	25	27	6	39	59	40	20
a34_gac-miR-8160a-5p	0	0	13	0	0	18	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
a167_gac-miR-8159-5p	1710	929	2249	197	0	404	53	209	210	79	148	22	26	397	12	77	0	33	181	24	0	17	74	13	200	0	22	35	94	20	259	12	148	149	134	81	295	64
a125_gac-miR-737-5p	1101	1456	4053	2595	3220	2543	2146	3756	974	2619	7387	1046	1606	2578	1683	3722	204	2392	5596	660	2820	2237	4969	2881	356	4168	1865	726	2091	1227	1743	2314	1139	940	1375	1331	4591	647
a97_gac-miR-734-5p	0	0	0	0	0	0	16	34	0	0	0	1	0	0	0	0	3	0	0	1	0	0	1	0	0	0	9	0	0	5	0	0	5	0	10	0	0	1
a127_gac-miR-734-3p	0	0	0	0	0	0	24	0	0	0	0	0	0	5	0	5	0	0	0	2	0	0	0	0	0	0	0	41	0	0	4	0	0	0	0	12	0	0
a177_gac-miR-730-5p	74	155	105	137	106	178	63	35	35	54	198	81	103	240	31	91	30	51	698	52	0	99	136	413	233	0	55	1058	167	75	198	207	75	84	209	233	96	180
a168_gac-miR-727b-5p	3	17	1	11	0	13	74	39	27	5	6	2	0	0	2	0	4	0	0	1	38	0	0	0	0	0	7	0	40	0	0	47	26	8	1	14	5	0
a124_gac-miR-727b-3p	60	26	78	76	0	105	144	98	47	62	39	9	8	67	45	17	0	90	0	2	0	38	26	45	0	0	13	90	158	1	43	40	27	11	54	133	1	16
a232_gac-miR-725-3p	4401	644	2480	145	1124	10625	237	1450	180	833	157	381	657	2190	35	173	354	12294	393	1391	189	6400	1619	566	0	54	1276	51	575	2162	33	107	1022	229	501	1964	6454	108
a223_gac-miR-724-5p	246	506	333	920	182	1231	1715	3723	90	285	164	332	454	154	23	147	30	1266	244	284	0	158	220	289	507	0	67	801	213	506	99	350	442	84	482	774	1464	1076
a248_gac-miR-722-3p	1067	496	528	338	249	332	308	309	155	117	94	55	13	903	98	33	28	1591	69	33	0	68	108	243	95	433	18	79	244	28	220	109	109	35	292	120	85	185
a217_gac-miR-7147-5p	6	0	6	0	77	13	0	0	10	0	0	47	30	14	0	56	0	18	0	9	0	61	29	50	0	0	0	193	20	8	28	0	2	0	12	4	0	2
a156_gac-miR-7133-3p	1020	346	12541	2043	4388	523	491	864	477	1275	364	403	741	1056	132	684	160	705	1059	161	1124	2122	1028	418	100	532	441	706	94	1017	180	724	100	367	735	398	486	463
a99_gac-miR-7132b-5p	481	215	2253	479	1546	259	373	426	306	340	260	271	454	419	263	1145	330	904	594	100	0	2519	662	379	326	1291	650	223	485	1368	214	786	580	1051	963	870	640	488
a98_gac-miR-7132a-5p_gac-miR-7132b-5p	177	143	1042	266	521	162	214	136	164	134	60	121	214	226	58	508	77	313	245	60	0	1005	318	237	242	42	251	47	340	494	88	239	156	463	391	309	382	172
a100_gac-miR-7132a-5p	177	61	340	100	33	120	67	110	77	91	93	83	98	150	82	193	58	487	283	34	0	510	147	236	0	449	89	0	136	222	35	199	183	260	193	117	144	118
a202_gac-miR-7-5p	159	116	365	345	2192	244	414	542	132	570	465	274	419	886	64	161	575	331	1826	154	0	504	535	848	350	67	377	376	515	318	113	206	455	99	200	157	256	179
a105_gac-miR-551a-3p	344	3351	1498	2503	117	1397	885	3010	150	255	6482	364	711	1764	2080	2961	584	2615	38442	2266	6327	5109	2358	14052	4839	2004	3662	30161	1403	2844	5591	8131	630	973	5071	2225	2782	3920
a224_gac-miR-499a-5p	325	1439	427	1169	203	3009	2408	6261	128	497	853	928	311	2913	2882	546	819	3115	1654	1748	134	238	1770	3530	1373	126	323	1928	2237	1159	1674	1187	2809	231	14712	3730	1868	2677
a182_gac-miR-489-3p	48	126	74	125	239	711	163	105	106	134	69	41	26	101	54	82	21	126	3	28	0	28	22	137	0	0	40	47	220	91	69	134	31	73	96	279	265	57
a75_gac-miR-460-5p	394	250	168	141	57	165	215	93	155	0	57	70	35	505	37	69	5	77	90	31	309	73	58	61	0	205	72	150	201	68	192	58	135	75	171	100	46	190
a47_gac-miR-458-3p	141	180	255	487	535	54	215	130	48	152	188	174	117	508	48	217	53	361	456	120	0	555	412	424	155	131	143	1164	260	275	206	60	89	76	242	103	199	220
a60_gac-miR-456-3p	428	603	919	718	948	508	608	499	250	874	861	452	652	794	97	404	170	738	929	220	618	695	830	538	610	560	424	1046	1279	512	487	791	501	426	926	890	1128	452
a164_gac-miR-455-5p	791	1507	720	764	194	959	685	701	356	343	1153	208	448	962	115	346	20	687	779	229	84	695	712	617	431	0	524	956	1057	304	690	409	680	421	855	1185	394	494
a102_gac-miR-455-3p	1034	2189	903	1453	906	1756	1131	830	812	426	1268	281	561	1179	1110	788	265	2035	1773	452	982	1096	671	1628	251	383	1026	3415	4399	439	958	659	566	547	1102	1350	309	576
a155_gac-miR-454b-3p	208	286	273	339	803	424	114	243	149	333	558	563	688	238	100	656	119	147	373	42	0	882	1089	612	0	0	196	312	254	224	115	108	119	47	124	429	687	177
a1_gac-miR-451-5p	89571	225649	115193	72613	300988	144998	49659	73482	91599	328589	460481	172562	261529	274686	187655	322778	47681	321820	278573	83486	56574	236483	133870	357129	61618	125790	303513	86603	504293	241087	180487	248214	274938	92855	117984	406458	324730	51506
a134_gac-miR-429a-3p	2061	221	1175	94	76	955	221	492	116	179	23	84	223	425	15	46	44	3703	102	69	0	798	351	29	81	255	104	54	88	135	23	15	153	67	44	76	286	89
a17_gac-miR-425-5p	24135	19850	47398	33170	33146	43197	16534	23897	23077	33808	30920	33872	42177	27380	16202	39234	6054	197029	42637	7684	13175	102244	60578	17058	35047	28390	31505	18769	31045	30368	13176	26631	15212	21423	24883	49107	61608	20816
a247_gac-miR-375a-3p	24095	4569	26489	2723	3289	33086	9220	20736	3985	13648	3406	5019	10121	16842	464	3356	60255	100697	7188	3451	6498	28729	16026	3975	8286	5823	8655	4716	4900	5712	2204	2502	4867	4375	3046	6958	27535	3275
a116_gac-miR-365-2b-5p	177	375	159	174	135	612	421	424	136	205	252	61	69	76	121	127	24	347	188	28	898	62	66	276	0	221	65	214	321	63	444	105	142	175	274	108	188	42
a136_gac-miR-365-2b-3p	4269	8874	2000	4072	8578	16584	1958	2956	2480	5140	5337	456	396	3462	3214	1488	391	2072	4757	783	687	1691	1262	7184	504	477	1979	2088	12187	1881	1382	2625	4370	1266	6285	17909	2693	933
a205_gac-miR-34a-5p	0	28	6	14	0	30	0	0	2	31	0	5	0	17	0	21	0	77	62	3	0	29	6	36	0	0	17	28	51	15	31	12	16	6	16	73	38	8
a174_gac-miR-338-3p	269	215	241	212	213	339	196	160	50	80	615	131	64	420	274	334	52	214	606	167	0	294	285	1063	306	112	318	1322	763	126	239	119	346	61	337	634	149	123
a3_gac-miR-338-1b-5p	4	21	0	5	0	45	0	0	3	15	3	0	0	0	20	0	0	0	0	0	0	8	0	32	0	0	5	0	16	2	0	0	0	0	2	12	0	0
a4_gac-miR-338-1a-5p	19	34	29	33	50	79	17	25	6	26	29	1	6	20	30	15	0	60	70	9	92	12	26	11	132	0	22	2	110	11	24	25	29	12	20	49	24	30
a122_gac-miR-33-5p	8	8	13	21	0	9	0	0	3	53	0	2	3	11	0	0	0	0	0	7	0	11	19	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0
a43_gac-miR-31a-5p	2083	534	1513	990	2000	1884	922	2017	861	1059	638	248	1366	2256	187	577	170	2800	1322	433	576	1260	1323	864	219	882	945	630	2046	1441	828	1498	910	467	1628	1884	1677	607
a214_gac-miR-30e-5p	5874	4101	10013	4035	11417	2415	3069	4438	1175	3810	5025	3172	3600	8798	2811	5757	1135	9760	6158	2872	1073	8304	4946	12895	3853	2280	3725	10944	4654	2880	1567	1214	1018	1110	2372	2687	2112	1538
a95_gac-miR-30e-3p	4530	5101	10047	8645	16044	7323	5551	8256	3045	5815	9366	3820	5664	11174	3598	7370	3356	19613	18995	4206	2126	11671	7364	14784	10157	3141	7490	68443	8663	4874	5934	5932	3125	3148	10817	7555	8704	5648
a212_gac-miR-30c-2-5p	18501	18383	31337	24965	93984	30618	20572	21182	13310	22010	20223	22867	23971	42085	7690	23895	11646	45034	57316	8991	7290	47251	23915	36986	28121	16702	24203	32830	37884	26815	12507	16753	15620	8688	33973	24590	39949	17221
a211_gac-miR-30c-1-5p_gac-miR-30c-2-5p	137	235	314	246	932	305	202	157	125	409	775	281	228	602	150	426	172	628	1043	152	94	501	189	494	21	234	436	718	579	465	486	273	454	139	522	501	515	282
a213_gac-miR-30c-1-5p	5544	6545	10247	5727	2940	7836	3568	6903	1340	1352	12502	2982	3339	12394	4483	8805	2047	32424	35652	4754	4112	12123	6852	16323	5815	3014	10603	61387	7298	3709	6120	5756	3423	1748	8546	4646	4034	6913
a209_gac-miR-30bb-5p_gac-miR-30c-1-5p_gac-miR-30c-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	6	0	0	0	0	0	0	0	0	0	0	0
a210_gac-miR-30bb-5p	1452	1390	1799	951	3527	1948	844	737	637	958	1571	834	592	1888	427	746	421	3076	2098	515	171	1544	641	2168	845	554	933	1652	1205	862	924	649	558	297	1545	1581	1293	373
a89_gac-miR-30bb-3p	101	65	91	113	110	106	58	102	36	95	126	76	66	166	120	128	23	140	109	36	0	133	86	125	0	297	79	116	78	65	46	50	81	29	91	127	50	26
a208_gac-miR-30a-5p	31179	34749	31334	33472	38488	37244	19093	22804	12782	34427	39972	24888	37076	61834	25640	36834	11416	97390	68163	14701	14889	56939	37218	45111	39603	20804	45367	42365	66130	34363	26155	27254	27013	15492	70536	62207	45303	25278
a110_gac-miR-301c-5p	0	16	20	34	14	10	0	0	2	0	0	4	13	2	41	0	0	0	0	0	0	30	15	0	0	0	9	55	0	14	0	0	4	0	3	8	76	1
a111_gac-miR-301b-5p	22	7	18	25	0	14	0	108	2	48	9	9	38	0	0	13	0	68	0	0	0	14	48	0	0	0	42	0	16	2	0	13	6	33	6	50	21	21
a63_gac-miR-301a-3p	0	0	0	0	0	0	0	0	4	9	1	4	0	7	0	15	0	0	0	1	0	8	7	0	0	0	0	0	0	0	0	6	0	0	0	5	0	0
a143_gac-miR-29b-2b-3p	29	0	12	0	0	0	0	0	2	0	0	0	0	0	0	0	0	57	0	2	0	9	2	25	0	0	0	0	0	0	2	0	0	3	1	0	0	1
a145_gac-miR-29b-1a/2a-3p	194	15	125	86	120	38	45	0	55	23	47	71	19	194	60	82	67	184	262	13	0	178	23	156	0	221	66	86	107	82	26	35	73	31	94	89	17	33
a107_gac-miR-29b-1a-5p	12	12	0	0	72	1	0	34	4	10	40	9	30	21	0	31	9	85	0	7	0	0	11	52	0	0	24	84	41	54	49	52	17	19	31	21	22	22
a144_gac-miR-29a-3p_gac-miR-29b-1a/2a-3p	19	0	5	2	0	4	0	0	0	0	13	1	5	0	0	1	6	13	0	4	0	0	0	0	0	0	0	0	0	1	7	0	7	4	0	5	0	0
