Caractéristique;Origine;Numéro tube;Poids;Taille;Sexe;sex name Sequencing;Mesure nanoDrop (ng/µL);Qt ARN ;"Ratio
A260/280";"Ratio
A260/230";Name sequencing;Aire gonade F - gauche;Aire gonade Mâle - gauche;Aire totale gon gauche;Aire gonade F - droite;Aire gonade Mâle - droite;Aire totale gon droite;Ratio gon gauche;Ratio gon droite;ratio /gon tot gauche;ratio /gon tot droite;Mean ratio;Classe avant mesure;Classement après mesure %
petite;Gravelines;1;137;18,9;M;P_M;18,789;263,046;1,662;0,557;D1_P_M;;;;;;;;;;;;;
petite;Gravelines;2;293;22,7;M;P_M;33,76;472,64;1,713;0,265;D2_P_M;;;;;;;;;;;;;
petite;Gravelines;3;200;21,1;M;P_M;25,36;355,04;1,681;0,44;D3_P_M;;;;;;;;;;;;;
petite;Gravelines;4;242;22,3;M;P_M;46,24;647,36;1,603;0,216;D4_P_M;;;;;;;;;;;;;
petite;Gravelines;5;217;21,5;M;P_M;98,6;1380,4;1,769;0,86;D5_P_M;;;;;;;;;;;;;
petite;Gravelines;6;174;19,9;M;P_M;52,505;735,07;1,816;1,342;D6_P_M;;;;;;;;;;;;;
petite;Gravelines;7;208;21,4;M;P_M;26,58;372,12;1,704;0,736;D7_P_M;;;;;;;;;;;;;
petite;Gravelines;8;237;21,8;M;P_M;20,084;281,176;1,622;0,451;D8_P_M;;;;;;;;;;;;;
petite;Gravelines;9;240;22,5;M;P_M;41,6;582,4;1,634;0,309;D9_P_M;;;;;;;;;;;;;
petite;Gravelines;10;267;21,7;M;P_M;56,481;790,734;1,758;1,429;D10_P_M;;;;;;;;;;;;;
moyenne;Gravelines;11;1025;34,2;inter-sexe;M_I;152,03;2128,42;1,796;1,956;D11_M_I;;;;;;;;;;;;;
moyenne;Gravelines;12;744;29,9;M;M_MPP;104,22;1459,08;1,792;1,572;D12_M_MPP;0;21987;21987;;;;;;0;;0;;
moyenne;Gravelines;13;904;33,5;M;M_MPP;174,083;2437,162;1,812;2,051;D13_M_MPP;1589;34291;35880;;;;5;#DIV/0!;4;;4;;
moyenne;Gravelines;14;566;30,3;M;M_MPP;44,8;627,2;1,814;0,73;D14_M_MPP;;;;;;;;;;;;;
moyenne;Gravelines;15;662;31,1;inter-sexe;M_MP;75,054;1050,756;1,8;0,55;D15_M_MP;5380;33220;38600;;;0;16;#DIV/0!;14;;14;;
moyenne;Gravelines;16;1056;36;inter-sexe;M_I;100,44;1406,16;1,81;0,79;D16_M_I;;;;;;;;;;;;;
moyenne;Gravelines;17;1168;35,9;inter-sexe;M_I;148,479;2078,706;1,8;0,5;D17_M_I;;;;;;;;;;;;;
moyenne;Gravelines;18;775;32,5;M;M_I;139,976;1959,664;1,813;1,61;D18_M_I;;;;;;;;;;;;;
moyenne;Gravelines;19;905;33,1;M;M_MPP;107,847;1509,858;1,791;0,683;D19_M_MPP;;;;;;;;;;;;;
moyenne;Gravelines;20;1025;34,3;M;M_MPP;84,182;1178,548;1,768;1,606;D20_M_MPP;0;94448;94448;;29897;29897;0;0;0;;0;;
moyenne;Gravelines;21;962;34,3;inter-sexe;M_MP;313,394;4387,516;1,833;2,195;D21_M_MP;10173;26284;36457;10385;11184;21569;39;93;28;;28;;
moyenne;Gravelines;22;967;35;inter-sexe;M_MP;241,87;3386,18;1,835;2,108;D22_M_MP;2491;15031;17522;6869;18118;24987;17;38;;27;27;;
