;miR-125b-2/3-5p
D1_P_M;85885,83638
D2_P_M;195233,1393
D3_P_M;49836,12237
D4_P_M;73455,36476
D5_P_M;52838,59817
D6_P_M;179879,0215
D7_P_M;56313,24984
D8_P_M;75325,19143
D9_P_M;102585,4301
D10_P_M;75923,85201
D15_M_MP;151800,7755
D21_M_MP;29163,01058
D22_M_MP;28253,88886
D24_M_MP;63737,79578
D46_M_MP;206084,5569
D48_M_MP;73313,31693
D50_M_MP;66770,46313
D52_M_MP;74487,10333
D57_M_MP;111010,2776
D60_M_MP;63313,39912
D12_M_MPP;63854,25899
D13_M_MPP;29974,97225
D20_M_MPP;38675,1524
D47_M_MPP;67816,60454
D61_M_MPP;34228,89335
D25_M_I;81397,93492
D45_M_I;98093,88262
D53_M_I;79662,98952
D56_M_I;134923,2247
D27_G_F;48670,443
D28_G_F;123939,4299
D29_G_F;108086,364
D31_G_F;170972,2867
D35_G_F;124542,4704
D36_G_F;101351,9975
D38_G_F;148972,1772
D41_G_F;76344,81792
D44_G_F;70454,77109
