Gene	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a103_gac-miR-ENSGACG00000022167-5p	0	36	76	100	124	17	140	126	165	105	185	44	63	110
a109_gac-miR-ENSGACG00000022167-3p	0	6	8	0	128	10	12	8	49	14	32	2	6	6
a10_gac-miR-99a-5p	5137	18274	15077	25907	6578	10957	19585	19082	36703	16242	27910	70371	13548	10300
a57_gac-miR-99a-3p	0	6	0	0	0	10	11	21	38	9	1	66	0	3
a165_gac-miR-92a-3p	703097	1628249	1139090	660250	697040	734628	490084	632707	418813	365763	787878	731993	1277953	528429
a44_gac-miR-92a-2-5p	551	89	225	351	313	173	364	556	175	228	299	312	780	208
a181_gac-miR-9-5p	0	121	161	39	128	77	52	32	313	72	192	255	87	108
a46_gac-miR-9-1/3/5/6-3p	0	6	33	34	0	0	2	25	27	6	39	59	40	20
a167_gac-miR-8159-5p	0	17	74	13	200	20	259	12	148	149	134	81	295	64
a125_gac-miR-737-5p	2820	2237	4969	2881	356	1227	1743	2314	1139	940	1375	1331	4591	647
a177_gac-miR-730-5p	0	99	136	413	233	75	198	207	75	84	209	233	96	180
a168_gac-miR-727b-5p	38	0	0	0	0	0	0	47	26	8	1	14	5	0
a124_gac-miR-727b-3p	0	38	26	45	0	1	43	40	27	11	54	133	1	16
a232_gac-miR-725-3p	189	6400	1619	566	0	2162	33	107	1022	229	501	1964	6454	108
a223_gac-miR-724-5p	0	158	220	289	507	506	99	350	442	84	482	774	1464	1076
a248_gac-miR-722-3p	0	68	108	243	95	28	220	109	109	35	292	120	85	185
a217_gac-miR-7147-5p	0	61	29	50	0	8	28	0	2	0	12	4	0	2
a156_gac-miR-7133-3p	1124	2122	1028	418	100	1017	180	724	100	367	735	398	486	463
a99_gac-miR-7132b-5p	0	2519	662	379	326	1368	214	786	580	1051	963	870	640	488
a98_gac-miR-7132a-5p_gac-miR-7132b-5p	0	1005	318	237	242	494	88	239	156	463	391	309	382	172
a100_gac-miR-7132a-5p	0	510	147	236	0	222	35	199	183	260	193	117	144	118
a202_gac-miR-7-5p	0	504	535	848	350	318	113	206	455	99	200	157	256	179
a105_gac-miR-551a-3p	6327	5109	2358	14052	4839	2844	5591	8131	630	973	5071	2225	2782	3920
a224_gac-miR-499a-5p	134	238	1770	3530	1373	1159	1674	1187	2809	231	14712	3730	1868	2677
a182_gac-miR-489-3p	0	28	22	137	0	91	69	134	31	73	96	279	265	57
a75_gac-miR-460-5p	309	73	58	61	0	68	192	58	135	75	171	100	46	190
a47_gac-miR-458-3p	0	555	412	424	155	275	206	60	89	76	242	103	199	220
a60_gac-miR-456-3p	618	695	830	538	610	512	487	791	501	426	926	890	1128	452
a164_gac-miR-455-5p	84	695	712	617	431	304	690	409	680	421	855	1185	394	494
a102_gac-miR-455-3p	982	1096	671	1628	251	439	958	659	566	547	1102	1350	309	576
a155_gac-miR-454b-3p	0	882	1089	612	0	224	115	108	119	47	124	429	687	177
a1_gac-miR-451-5p	56574	236483	133870	357129	61618	241087	180487	248214	274938	92855	117984	406458	324730	51506
a134_gac-miR-429a-3p	0	798	351	29	81	135	23	15	153	67	44	76	286	89
a17_gac-miR-425-5p	13175	102244	60578	17058	35047	30368	13176	26631	15212	21423	24883	49107	61608	20816
a247_gac-miR-375a-3p	6498	28729	16026	3975	8286	5712	2204	2502	4867	4375	3046	6958	27535	3275
a116_gac-miR-365-2b-5p	898	62	66	276	0	63	444	105	142	175	274	108	188	42
a136_gac-miR-365-2b-3p	687	1691	1262	7184	504	1881	1382	2625	4370	1266	6285	17909	2693	933
a205_gac-miR-34a-5p	0	29	6	36	0	15	31	12	16	6	16	73	38	8
a174_gac-miR-338-3p	0	294	285	1063	306	126	239	119	346	61	337	634	149	123
a3_gac-miR-338-1b-5p	0	8	0	32	0	2	0	0	0	0	2	12	0	0
a4_gac-miR-338-1a-5p	92	12	26	11	132	11	24	25	29	12	20	49	24	30
a43_gac-miR-31a-5p	576	1260	1323	864	219	1441	828	1498	910	467	1628	1884	1677	607
a214_gac-miR-30e-5p	1073	8304	4946	12895	3853	2880	1567	1214	1018	1110	2372	2687	2112	1538
a95_gac-miR-30e-3p	2126	11671	7364	14784	10157	4874	5934	5932	3125	3148	10817	7555	8704	5648
a212_gac-miR-30c-2-5p	7290	47251	23915	36986	28121	26815	12507	16753	15620	8688	33973	24590	39949	17221
a211_gac-miR-30c-1-5p_gac-miR-30c-2-5p	94	501	189	494	21	465	486	273	454	139	522	501	515	282
a213_gac-miR-30c-1-5p	4112	12123	6852	16323	5815	3709	6120	5756	3423	1748	8546	4646	4034	6913
a210_gac-miR-30bb-5p	171	1544	641	2168	845	862	924	649	558	297	1545	1581	1293	373
a89_gac-miR-30bb-3p	0	133	86	125	0	65	46	50	81	29	91	127	50	26
a208_gac-miR-30a-5p	14889	56939	37218	45111	39603	34363	26155	27254	27013	15492	70536	62207	45303	25278
a110_gac-miR-301c-5p	0	30	15	0	0	14	0	0	4	0	3	8	76	1
a111_gac-miR-301b-5p	0	14	48	0	0	2	0	13	6	33	6	50	21	21
a145_gac-miR-29b-1a/2a-3p	0	178	23	156	0	82	26	35	73	31	94	89	17	33
a107_gac-miR-29b-1a-5p	0	0	11	52	0	54	49	52	17	19	31	21	22	22
a146_gac-miR-29a-3p	47	652	315	1279	199	389	297	279	265	132	264	715	153	76
a33_gac-miR-29a-3b-5p	0	60	139	26	152	48	53	68	47	14	75	64	115	24
a228_gac-miR-27e-3p	263	2331	2380	5237	1024	818	1316	1606	2095	857	2184	4901	1937	1560
a59_gac-miR-27c-1-5p	567	1325	952	952	741	468	299	292	379	406	795	1265	646	379
a231_gac-miR-27c-1-3p	4112	24160	14216	11567	3634	6635	3316	3876	4686	4641	5204	12414	4728	4219
a36_gac-miR-27b-5p	727	319	321	464	181	207	251	236	333	218	404	640	447	306
a230_gac-miR-27b-3p	5039	12431	10449	11098	3760	4221	5116	5219	5406	4617	6822	10760	6408	4067
a42_gac-miR-27a-5p	1	286	161	67	145	74	107	98	62	231	187	172	263	69
a227_gac-miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	0	98	70	124	0	39	26	49	40	53	136	128	25	71
a229_gac-miR-27a-3p	560	1236	614	1035	341	236	220	71	131	217	217	297	247	167
a74_gac-miR-26b-3p	500	288	455	547	411	230	262	372	186	139	174	311	814	69
a73_gac-miR-26a-1b-3p	0	506	351	182	186	256	141	211	109	98	319	396	311	111
a226_gac-miR-26-5p	63713	260688	274315	259636	109397	155305	123039	151036	96248	54526	191156	266607	213662	70901
a197_gac-miR-24-6-5p	25	151	87	239	0	33	98	43	59	68	80	88	45	32
a206_gac-miR-24-3p	1410	6435	4954	4252	976	2481	1583	1664	2461	1789	1948	6226	3062	1811
a198_gac-miR-24-3-5p	0	4	9	0	0	13	0	0	17	11	6	25	36	0
a199_gac-miR-24-2-5p	493	1174	506	462	662	337	261	355	589	403	567	1132	530	432
a119_gac-miR-23b-2-5p	883	144	157	184	171	66	258	248	145	171	170	199	255	90
a50_gac-miR-23b-2-3p	3591	5754	4841	5097	955	2017	4585	2740	4129	2962	3962	5652	3439	2577
a49_gac-miR-23a-3p_gac-miR-23b-2-3p	259	150	69	153	0	34	31	33	14	53	68	86	43	18
a51_gac-miR-23a-3p	59413	159924	119961	59897	29117	44133	60636	38990	58473	51005	58613	111291	68989	45467
a114_gac-miR-23a-3-5p	328	406	397	326	212	144	390	183	193	182	338	340	363	238
a112_gac-miR-23a-2-5p	0	436	316	370	155	171	126	181	303	179	171	481	125	76
a118_gac-miR-23a-1-5p	0	75	80	89	0	37	60	55	222	56	88	124	32	28
a79_gac-miR-22b-5p	2479	2047	2740	2150	1135	1498	3493	4108	1992	1556	2353	4421	6803	1189
a14_gac-miR-22b-3p	141	248	188	135	116	73	108	98	112	56	102	236	231	52
a45_gac-miR-22a-5p	1926	2187	2208	3225	360	1131	3599	3204	2113	1371	3411	5862	4421	1019
a13_gac-miR-22a-3p	50206	131658	108935	93826	90274	35130	68791	73495	104895	66388	155545	237791	129189	106072
a219_gac-miR-223-5p	421	3538	3195	803	1014	1152	350	447	792	801	843	1754	2641	768
a173_gac-miR-223-3p	17047	105852	73131	33042	22288	71416	16901	33812	32267	39008	36222	105419	106510	22038
a201_gac-miR-222c-5p	188	145	85	338	127	54	46	46	21	18	125	123	115	47
a200_gac-miR-222a-5p	178	321	124	980	108	140	68	32	34	46	160	115	61	108
a39_gac-miR-222-3p	3573	9168	4749	11304	4306	4013	5997	6348	4704	3386	9843	8494	8002	4957
a25_gac-miR-221a-5p	0	45	22	0	0	7	40	2	20	0	4	1	0	0
a40_gac-miR-221-3p	3998	6000	3492	6613	1654	3599	5556	5590	3526	1882	7798	6165	6654	3068
a77_gac-miR-21a-3p	161	172	63	186	0	11	5	0	5	10	14	0	32	4
a237_gac-miR-218a-2-5p_gac-miR-218b-5p	0	26	1	20	0	19	0	0	1	4	4	12	0	9
a239_gac-miR-218a-2-5p	0	532	564	804	441	303	244	254	795	110	407	405	145	272
a15_gac-miR-2188-5p	11581	26037	19218	44477	8101	35686	30548	38235	31969	10481	21453	69073	46500	8249
a108_gac-miR-2188-3p	28739	52738	77947	69149	82995	59560	76469	78741	79053	28203	66658	178443	154404	27285
a5_gac-miR-2184-5p	0	300	212	546	308	68	50	82	147	89	159	294	115	76
a142_gac-miR-217a-5p	165	10	20	20	54	11	36	25	88	33	59	39	40	36
a135_gac-miR-216b-5p	0	0	0	26	0	7	7	15	2	0	3	5	0	7
