Gene	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a103_gac-miR-ENSGACG00000022167-5p	0	25.58804954905	64.7831372559162	68.3175977133396	185.044413573566	0	577.928990923772	70.7588649264985	109.91109947131
a109_gac-miR-ENSGACG00000022167-3p	0	4.26467492484166	6.81927760588591	0	191.013588204971	0	19.8924833832458	31.3673318746333	16.3697382191313
a10_gac-miR-99a-5p	10670.6298105499	12988.7782627594	12851.7810579927	17699.0400395949	9816.3076813461	26051.6696249465	17773.4104165253	18044.9695019257	43212.6010974597
a57_gac-miR-99a-3p	0	4.26467492484166	0	0	0	0	2.09394561928903	0	15.2004712034791
a244_gac-miR-96-5p	0	2.84311661656111	2.55722910220722	0	0	0	0	0	12.8619371721746
a165_gac-miR-92a-3p	1460480.3986584	1157325.44694975	970971.366011073	451066.938902324	1040188.3712687	1714837.24675031	1194749.88080741	622855.27325192	415037.758174347
a44_gac-miR-92a-2-5p	1144.54292887152	63.2593447184847	191.792182665541	239.794767973822	467.087914907469	656.132059092377	141.341329302009	352.335378963905	295.23992145219
a181_gac-miR-9-5p	0	86.0042776509735	137.237961818454	26.6438631082024	191.013588204971	0	121.448845918764	130.57563733859	21.0468062817402
a46_gac-miR-9-1/3/5/6-3p	0	4.26467492484166	28.1295201242794	23.2279832225354	0	0	32.4561570989799	0	39.755078532176
a167_gac-miR-8159-5p	0	12.0832456203847	63.0783178544447	8.88128770273414	298.458731570268	0	23.0334018121793	25.531549200283	54.9555497356551
a125_gac-miR-737-5p	5857.73332017729	1590.0129678118	4235.62380295589	1968.22999012131	531.256542195076	6404.58646907969	1952.60428998702	529.597277697298	1222.46866486441
a127_gac-miR-734-3p	0	0	0	0	0	0	0	29.9083862060458	0
a177_gac-miR-730-5p	0	70.3671362598874	115.927719300061	282.151678556092	347.704422279362	0	57.5835045304483	771.782258682839	97.6337958069617
a168_gac-miR-727b-5p	78.9339950945876	0	0	0	0	0	7.3288096675116	0	23.3853403130447
a124_gac-miR-727b-3p	0	27.0096078573305	22.1626522191292	30.7429189710028	0	0	13.6106465253787	65.6525550864419	92.3720942365266
a232_gac-miR-725-3p	392.592765075712	4548.98658649777	1380.05130549116	386.677603057502	0	82.9768880351016	1335.9373051064	37.2031145489837	336.164267000018
a223_gac-miR-724-5p	0	112.303106354164	187.530134161863	197.437857391551	756.592884530628	0	70.1471782461824	584.307740269333	124.526937166963
a248_gac-miR-722-3p	0	48.3329824815389	92.0602476794598	166.011762443415	141.767897495877	665.351713318499	18.8455105736013	57.6283539092101	142.650575909573
a217_gac-miR-7147-5p	0	43.3575284025569	24.7198813213364	34.1587988566698	0	0	0	140.788257018703	11.6926701565224
a156_gac-miR-7133-3p	2334.78448648201	1508.27336508567	876.27717235634	285.567558441759	149.229365785134	817.476008049519	461.715009053231	515.007821011422	54.9555497356551
a99_gac-miR-7132b-5p	0	1790.45268927936	564.295221887059	258.923695333557	486.487732459536	1983.762267654	680.532326268934	162.672442047517	283.547251295667
a98_gac-miR-7132a-5p_gac-miR-7132b-5p	0	714.333049910979	271.066284833965	161.912706580615	361.135065200024	64.5375795828568	262.790175220773	34.2852232118085	198.77539266088
a100_gac-miR-7132a-5p	0	362.497368611541	125.304226008154	161.229530603481	0	689.937457921493	93.1805800583618	0	79.510157064352
a202_gac-miR-7-5p	0	358.2326936867	456.039189893621	579.333228609119	522.302780247968	102.952805525033	394.708749235982	274.281785694468	301.086256530451
a105_gac-miR-551a-3p	13142.5101832488	3631.37069850268	2009.98207433487	9599.98883067847	7221.20901034262	3079.36451152488	3834.01442891821	22001.6301551353	820.240811480044
a224_gac-miR-499a-5p	278.346193228283	169.165438685386	1508.76517030226	2411.61119928089	2048.91919222989	193.61273874857	338.172217515178	1406.42362451844	1307.82515700703
a182_gac-miR-489-3p	0	19.9018163159278	18.7530134161863	93.5951088672752	0	0	41.8789123857806	34.2852232118085	128.619371721746
a75_gac-miR-460-5p	641.858012742831	51.8868782522402	49.4397626426729	41.6737346051371	0	315.004852725849	75.382042294405	109.42092514407	117.51133507305
a47_gac-miR-458-3p	0	394.482430547854	351.192796703125	289.66661430456	231.305516966957	201.295783937006	149.717111779166	849.106379117982	152.004712034791
a60_gac-miR-456-3p	1283.71602548566	493.991512127493	707.500051610664	367.548675697767	910.299131289316	860.501061104757	443.916471289274	763.028584671314	747.746256509605
a164_gac-miR-455-5p	174.485673366983	493.991512127493	606.915706923846	421.519577891305	643.178566533927	0	548.613752253725	697.376029584872	617.957617772207
a102_gac-miR-455-3p	2039.82061007592	779.013952937744	571.966909193681	1112.21049077317	374.565708120686	588.521261434146	1074.19410269527	2491.14972911332	2571.80280092709
a155_gac-miR-454b-3p	0	626.907213951725	928.27416410122	418.103698005638	0	0	205.206670690325	227.595524299665	148.496910987834
a1_gac-miR-451-5p	117516.101012663	168087.186708555	114112.086637493	243981.953537672	91952.1506094837	193290.050850656	317769.858373635	63174.5358683459	294826.585562157
a134_gac-miR-429a-3p	0	567.201765003941	299.195804958244	19.8121033368685	120.875786285958	391.835304610202	108.885172203029	39.3915330518651	51.4477486886984
a17_gac-miR-425-5p	27367.2469834524	72672.9038359185	51637.2748511696	11653.6158179415	52300.4158267158	43624.3305799358	32984.8783678504	13691.4756268603	18149.9472504618
a247_gac-miR-375a-3p	13497.7131611745	20419.974319296	13660.717863991	2715.62450910525	12365.1452489562	8947.67442645179	9061.54966747327	3440.19388652956	2864.70418834798
a116_gac-miR-365-2b-5p	1865.33493670894	44.0683075566972	56.2590402485588	188.556569688817	0	339.590597328842	68.0532326268934	156.107186538873	187.667356012184
a136_gac-miR-365-2b-3p	1427.04354289425	1201.92754965121	1075.7410423285	4907.93621972631	752.116003557074	732.96251097673	2071.95919028649	1523.13927800545	7124.9285598769
a205_gac-miR-34a-5p	0	20.612595470068	5.11445820441444	24.5943351768022	0	0	17.7985377639567	20.4252393602264	29.816308899132
a174_gac-miR-338-3p	0	208.969071317242	242.936764709686	726.216063692799	456.641859302509	172.100212220951	332.937353466955	964.363086936402	446.075366471328
a3_gac-miR-338-1b-5p	0	5.68623323312222	0	21.8616312682687	0	0	5.23486404822257	0	9.35413612521789
a4_gac-miR-338-1a-5p	191.103356544791	8.52934984968333	22.1626522191292	7.51493574846735	196.982762836377	0	23.0334018121793	1.4589456685876	64.309685860873
a122_gac-miR-33-5p	0	7.81857069554305	16.195784313979	0	0	0	0	0	0
a43_gac-miR-31a-5p	1196.47318880217	895.581734216749	1127.73803407338	590.264044243254	326.812311069443	1355.28917123999	989.389305114066	459.567885605093	1196.16015701224
a214_gac-miR-30e-5p	2228.84675622349	5902.31009598086	4216.01837983897	8809.55422513513	5749.8074637012	3503.46860592651	3899.97371592581	7983.35069851133	2720.88434542275
a95_gac-miR-30e-3p	4416.14930450245	8295.50350797118	6277.14503621798	10100.0736459401	15157.226682796	4826.48898737507	7841.82634423741	49927.3091975705	5064.68007829766
a212_gac-miR-30c-2-5p	15142.8637957775	33585.0258122822	20385.3779930952	25267.9466902558	41964.7899524375	25664.4441474494	25339.8829118262	23948.5931498654	22148.2558104847
a211_gac-miR-30c-1-5p_gac-miR-30c-2-5p	195.257777339243	356.100356224279	161.105433439055	337.488932703897	31.3381668148781	359.566514818773	456.480145005008	523.761495022948	338.502801031322
a213_gac-miR-30c-1-5p	8541.48915339327	8616.77568564258	5840.71126944129	11151.4814747484	8677.68762040553	4631.33963958882	11101.0527006608	44780.1488787934	4266.65534011501
