Gene	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a103_gac-miR-ENSGACG00000022167-5p	74	23	85	174	1679	2510	632	279	369	123	17	140	126	165	105	185	44	63	110
a109_gac-miR-ENSGACG00000022167-3p	31	0	13	108	97	237	21	80	0	41	10	12	8	49	14	32	2	6	6
a10_gac-miR-99a-5p	34550	9234	6869	28990	22479	10294	4547	34760	27312	6076	10957	19585	19082	36703	16242	27910	70371	13548	10300
a57_gac-miR-99a-3p	32	4	0	43	0	14	0	0	0	2	10	11	21	38	9	1	66	0	3
a244_gac-miR-96-5p	0	0	6	7	0	0	24	93	0	4	2	0	0	1	0	0	0	34	0
a165_gac-miR-92a-3p	991058	635762	1081384	1334883	254512	601260	226980	624539	1884054	230932	734628	490084	632707	418813	365763	787878	731993	1277953	528429
a44_gac-miR-92a-2-5p	391	59	88	193	55	102	79	538	832	74	173	364	556	175	228	299	312	780	208
a181_gac-miR-9-5p	97	51	55	154	22	0	26	63	77	35	77	52	32	313	72	192	255	87	108
a46_gac-miR-9-1/3/5/6-3p	0	17	17	24	7	12	0	16	0	4	0	2	25	27	6	39	59	40	20
a167_gac-miR-8159-5p	148	22	26	397	12	77	0	33	181	24	20	259	12	148	149	134	81	295	64
a125_gac-miR-737-5p	7387	1046	1606	2578	1683	3722	204	2392	5596	660	1227	1743	2314	1139	940	1375	1331	4591	647
a177_gac-miR-730-5p	198	81	103	240	31	91	30	51	698	52	75	198	207	75	84	209	233	96	180
a168_gac-miR-727b-5p	6	2	0	0	2	0	4	0	0	1	0	0	47	26	8	1	14	5	0
a124_gac-miR-727b-3p	39	9	8	67	45	17	0	90	0	2	1	43	40	27	11	54	133	1	16
a232_gac-miR-725-3p	157	381	657	2190	35	173	354	12294	393	1391	2162	33	107	1022	229	501	1964	6454	108
a223_gac-miR-724-5p	164	332	454	154	23	147	30	1266	244	284	506	99	350	442	84	482	774	1464	1076
a248_gac-miR-722-3p	94	55	13	903	98	33	28	1591	69	33	28	220	109	109	35	292	120	85	185
a217_gac-miR-7147-5p	0	47	30	14	0	56	0	18	0	9	8	28	0	2	0	12	4	0	2
a156_gac-miR-7133-3p	364	403	741	1056	132	684	160	705	1059	161	1017	180	724	100	367	735	398	486	463
a99_gac-miR-7132b-5p	260	271	454	419	263	1145	330	904	594	100	1368	214	786	580	1051	963	870	640	488
a98_gac-miR-7132a-5p_gac-miR-7132b-5p	60	121	214	226	58	508	77	313	245	60	494	88	239	156	463	391	309	382	172
a100_gac-miR-7132a-5p	93	83	98	150	82	193	58	487	283	34	222	35	199	183	260	193	117	144	118
a202_gac-miR-7-5p	465	274	419	886	64	161	575	331	1826	154	318	113	206	455	99	200	157	256	179
a105_gac-miR-551a-3p	6482	364	711	1764	2080	2961	584	2615	38442	2266	2844	5591	8131	630	973	5071	2225	2782	3920
