Gene	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP
a103_gac-miR-ENSGACG00000022167-5p	74	23	85	174	1679	2510	632	279	369	123	0	36	76	100	124
a109_gac-miR-ENSGACG00000022167-3p	31	0	13	108	97	237	21	80	0	41	0	6	8	0	128
a10_gac-miR-99a-5p	34550	9234	6869	28990	22479	10294	4547	34760	27312	6076	5137	18274	15077	25907	6578
a57_gac-miR-99a-3p	32	4	0	43	0	14	0	0	0	2	0	6	0	0	0
a244_gac-miR-96-5p	0	0	6	7	0	0	24	93	0	4	0	4	3	0	0
a165_gac-miR-92a-3p	991058	635762	1081384	1334883	254512	601260	226980	624539	1884054	230932	703097	1628249	1139090	660250	697040
a44_gac-miR-92a-2-5p	391	59	88	193	55	102	79	538	832	74	551	89	225	351	313
a181_gac-miR-9-5p	97	51	55	154	22	0	26	63	77	35	0	121	161	39	128
a46_gac-miR-9-1/3/5/6-3p	0	17	17	24	7	12	0	16	0	4	0	6	33	34	0
a34_gac-miR-8160a-5p	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
a167_gac-miR-8159-5p	148	22	26	397	12	77	0	33	181	24	0	17	74	13	200
a125_gac-miR-737-5p	7387	1046	1606	2578	1683	3722	204	2392	5596	660	2820	2237	4969	2881	356
a97_gac-miR-734-5p	0	1	0	0	0	0	3	0	0	1	0	0	1	0	0
a127_gac-miR-734-3p	0	0	0	5	0	5	0	0	0	2	0	0	0	0	0
a177_gac-miR-730-5p	198	81	103	240	31	91	30	51	698	52	0	99	136	413	233
a168_gac-miR-727b-5p	6	2	0	0	2	0	4	0	0	1	38	0	0	0	0
a124_gac-miR-727b-3p	39	9	8	67	45	17	0	90	0	2	0	38	26	45	0
a232_gac-miR-725-3p	157	381	657	2190	35	173	354	12294	393	1391	189	6400	1619	566	0
a223_gac-miR-724-5p	164	332	454	154	23	147	30	1266	244	284	0	158	220	289	507
a248_gac-miR-722-3p	94	55	13	903	98	33	28	1591	69	33	0	68	108	243	95
a217_gac-miR-7147-5p	0	47	30	14	0	56	0	18	0	9	0	61	29	50	0
a156_gac-miR-7133-3p	364	403	741	1056	132	684	160	705	1059	161	1124	2122	1028	418	100
a99_gac-miR-7132b-5p	260	271	454	419	263	1145	330	904	594	100	0	2519	662	379	326
a98_gac-miR-7132a-5p_gac-miR-7132b-5p	60	121	214	226	58	508	77	313	245	60	0	1005	318	237	242
a100_gac-miR-7132a-5p	93	83	98	150	82	193	58	487	283	34	0	510	147	236	0
a202_gac-miR-7-5p	465	274	419	886	64	161	575	331	1826	154	0	504	535	848	350
