Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a103_gac-miR-ENSGACG00000022167-5p	297.726749141532	203.209142674244	117.040757038457	121.816873720849	16.8354212099409	82.9252967100066	250.193925772036	158.276975114039	144.472578259894	141.044315779316	21.2948150024519	174.7060328277	160.239253230349	214.902331492866	196.387309985059	166.840940589533	28.140883055161	46.3525697380221	170.828863814879
a109_gac-miR-ENSGACG00000022167-3p	108.767047673996	69.4605796777415	35.3199917690017	12.9077482088317	34.4360888385154	36.4871305524029	30.4583909635522	33.0861473402229	64.9314958471435	37.0693394035381	12.5263617661482	14.9748028138029	10.1739208400222	63.8194802615179	26.1849746646746	28.8589735073786	1.27913104796187	4.4145304512402	9.3179380262661
a10_gac-miR-99a-5p	20735.7924107984	36535.5259681551	11045.4617396825	16229.0731698167	12907.4113430942	32290.4471365029	13003.5573420823	11582.8342296732	16161.449316354	14457.0423673799	13725.1345871686	24440.1260923608	24267.3446836629	47803.3955926222	30378.3113216889	25170.4359559668	45006.8654880622	9968.00975890036	15995.7936117568
a57_gac-miR-99a-3p	11.0610556956606	30.2966358168873	0	6.45387410441585	0	0	0	0	4.86986218853576	6.32891160548211	12.5263617661482	13.7269025793193	26.7065422050582	49.4926581619934	16.8331979987194	0.901842922105582	42.2113245827416	0	4.65896901313305
a244_gac-miR-96-5p	6.45228248913536	0	0	0	20.6616533031092	0	0	0	4.86986218853576	0	2.50527235322964	0	0	1.30243837268404	0	0	0	25.0156725570278	0
a165_gac-miR-92a-3p	368276.005877738	469990.233542698	541073.87939792	510522.416750133	656694.683657651	302392.069970842	333320.313709957	390046.331452499	446254.691508663	1682108.07193756	920221.609154192	611575.938516648	804638.866615988	545478.12217892	684106.777733954	710542.197782702	468157.486595375	940260.405625627	820644.778880295
a44_gac-miR-92a-2-5p	282.056920239346	184.735584249313	467.470479295611	227.499062180659	243.348361125509	201.674321598736	523.231644766737	412.23551145521	253.23283380386	528.012053943079	216.706058554364	454.235685352021	707.087498381541	227.926715219707	426.441015967557	269.651033709569	199.544443482051	573.888958661226	323.021851577225
a181_gac-miR-9-5p	72.8186166630991	106.407696527604	76.8729232619449	94.3879087770819	134.683369679527	54.3989946417643	124.009163208748	108.200644004513	87.6575193936437	102.166715917068	96.4529855993412	64.8908121931459	40.6956833600887	407.663210650104	134.665583989755	173.153841044272	163.089208615138	64.0106915429828	167.72288447279
a46_gac-miR-9-1/3/5/6-3p	9.21754641305052	14.0399044029478	38.7827360600803	26.6222306807154	31.3751031639807	10.6144379788808	41.3363877362495	118.037066186741	24.3493109426788	22.6032557338647	0	2.49580046896715	31.7935026250693	35.165836062469	11.2221319991462	35.1718739621177	37.734365914875	29.430203008268	31.059793420887
a167_gac-miR-8159-5p	1576.20043663164	686.477431070446	1557.54238212715	158.92664982124	0	268.014558966741	57.6533828952953	186.89202146234	340.890353197503	71.4262881190124	25.0527235322964	323.206160731246	15.2608812600332	192.760879157238	278.682944645465	120.846951562148	51.8048074424556	217.047747185976	99.3913389468384
a125_gac-miR-737-5p	1014.85186007686	1075.900042668	2806.90052234831	2093.47541261989	2464.09346800043	1687.03223626837	2334.41810742082	3358.69106513182	1581.08192387794	2367.91707067967	1536.98458870638	2175.09010870487	2942.80660297641	1483.47730648712	1758.13401319958	1240.03401789517	851.261712418622	3377.85155027396	1004.78431716569
a97_gac-miR-734-5p	0	0	0	0	0	0	17.4047948363156	30.4034867450697	0	0	6.2631808830741	0	0	6.51219186342019	0	9.01842922105582	0	0	1.55298967104435
a177_gac-miR-730-5p	68.2098434565738	114.536062234574	72.7176301126506	110.522594038121	81.1161203751696	118.085622515049	68.5313796679925	31.2977069434541	56.8150588662506	48.8230323851477	93.9477132461115	247.084246427748	263.250201735574	97.6828779513028	157.109847988047	188.485170720067	149.018767087557	70.6324872198431	279.538140787983
a168_gac-miR-727b-5p	2.76526392391516	12.5620197289533	0.69254885821572	8.8740768935718	0	8.62423085784069	80.4971761179595	34.8745877369917	43.8287596968219	4.52065114677294	0	0	59.7717849351302	33.863397689785	14.9628426655283	0.901842922105582	8.95391733573306	3.6787753760335	0
a124_gac-miR-727b-3p	55.3052784783031	19.2125007619285	54.0188109408262	61.3118039919506	0	69.6572492364055	156.64315352684	87.6335794416715	76.2945076203936	56.0560742199844	1.25263617661482	53.6597100827937	50.8696042001108	35.165836062469	20.5739086651014	48.6995177937014	85.0622146894641	0.735755075206699	24.8478347367096
a232_gac-miR-725-3p	4056.64217638353	475.878865026229	1717.52116837499	116.976468142537	860.136974544251	7048.65022035056	257.808523512924	1296.61928765739	292.191731312146	753.140481052372	2708.19941384124	41.180707737958	136.076191235296	1331.09201688309	428.311371300748	451.823303974896	1256.10668909855	4748.56325538404	167.72288447279
a223_gac-miR-724-5p	226.751641761043	373.904822520609	230.618769785835	742.195522007823	139.274848191329	816.648322000145	1865.57644651757	3329.18179858513	146.095865656073	257.677115366057	633.833905367099	123.542123213874	445.10903675097	575.677760726345	157.109847988047	434.68828845489	495.023715561242	1077.14543010261	1671.01688604372
a248_gac-miR-722-3p	983.51220227249	366.515399150636	365.6657971379	272.67618091157	190.546358239785	220.249588061778	335.042300599075	276.314041300781	251.609546407681	105.783236834487	35.073812945215	274.538051586386	138.619671445302	141.96578262256	65.4624366616864	263.33813325483	76.747862877712	62.5391813925694	287.303089143205
a217_gac-miR-7147-5p	5.53052784783031	0	4.15529314929432	0	58.923974234793	8.62423085784069	0	0	16.2328739617859	0	10.0210894129186	34.9412065655401	0	2.60487674536808	0	10.822115065267	2.55826209592373	0	3.1059793420887
a156_gac-miR-7133-3p	940.189734131153	255.674048601049	8685.25523088334	1648.1580994152	3357.90128496457	346.959441434668	534.109641539434	772.606251404125	774.308087977186	1152.7660424271	1273.93099161727	224.622042207043	920.739836022006	130.243837268404	686.420407281112	662.854547747603	254.547078544411	357.576966550456	719.034217693534
a99_gac-miR-7132b-5p	443.36398246773	158.872602454409	1560.31257756002	386.425712001899	1183.07096320766	171.821214783134	405.749279621607	380.937804511756	496.725943230648	307.40427798056	1713.60628960907	267.050650179485	999.587722532178	755.414256156742	1965.74345518378	868.474733987675	556.422005863412	470.883248132288	757.858959469643
a98_gac-miR-7132a-5p_gac-miR-7132b-5p	163.150571510994	105.668754190607	721.63591026078	214.591313971827	398.693384108145	107.471184536169	232.789130935721	121.613946980279	266.219132973288	121.153450733515	618.802271247721	109.815220634555	303.945885095662	203.18038613871	865.974519267452	352.620582543282	197.625746910108	281.058438728959	267.114223419628
a100_gac-miR-7132a-5p	163.150571510994	45.0754825568323	235.466611793345	80.6734263051982	25.2531318149113	79.6082848416063	72.8825783770714	98.3642218222844	124.993129505751	82.2758508712675	278.08523120849	43.6765082069251	253.076280895551	238.346222201179	486.29238662967	174.055683966377	74.8291663057691	105.948730829765	183.252781183233
a202_gac-miR-7-5p	146.558987967503	85.7173110916811	252.780333248738	278.323320752934	1677.42014964502	161.870179177933	450.349066389665	484.667347524347	214.273936295574	515.354230732115	398.338304163513	141.012726496644	261.978461630571	592.609459571237	185.165177985913	180.368584421116	100.411787265006	188.353299252915	277.985151116939
a105_gac-miR-551a-3p	317.083596608938	2476.19577127779	1037.43818960715	2019.25586041911	89.53383098014	926.773116031034	962.702714383705	2691.60279713705	243.493109426788	230.55320848542	3562.49728629255	6977.01021099766	10340.5187937775	820.536174790944	1819.85573919488	4573.2454579974	1423.03329085758	2046.87061922504	6087.71951049385
a224_gac-miR-499a-5p	299.570258424142	1063.33802293904	295.718362458112	943.072353507767	155.345022982636	1996.17774240328	2619.42162286549	5598.71266208475	207.780786710859	449.35272398923	1451.80532869658	2088.9849925255	1509.55550463829	3658.54938886946	432.05208196713	13267.9130700173	2385.57940444888	1374.39048048611	4157.35334938572
