Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a103_gac-miR-ENSGACG00000022167-5p	323	275	169	151	22	125	230	177	89	156	17	140	126	165	105	185	44	63	110
a109_gac-miR-ENSGACG00000022167-3p	118	94	51	16	45	55	28	37	40	41	10	12	8	49	14	32	2	6	6
a10_gac-miR-99a-5p	22496	49443	15949	20117	16867	48674	11954	12953	9956	15990	10957	19585	19082	36703	16242	27910	70371	13548	10300
a57_gac-miR-99a-3p	12	41	0	8	0	0	0	0	3	7	10	11	21	38	9	1	66	0	3
a244_gac-miR-96-5p	7	0	0	0	27	0	0	0	3	0	2	0	0	1	0	0	0	34	0
a165_gac-miR-92a-3p	399538	636031	781279	632826	858148	455820	306417	436186	274908	1860471	734628	490084	632707	418813	365763	787878	731993	1277953	528429
a44_gac-miR-92a-2-5p	306	250	675	282	318	304	481	461	156	584	173	364	556	175	228	299	312	780	208
a181_gac-miR-9-5p	79	144	111	117	176	82	114	121	54	113	77	52	32	313	72	192	255	87	108
a46_gac-miR-9-1/3/5/6-3p	10	19	56	33	41	16	38	132	15	25	0	2	25	27	6	39	59	40	20
a34_gac-miR-8160a-5p	0	0	13	0	0	18	0	0	0	0	0	0	2	0	0	0	0	0	2
a167_gac-miR-8159-5p	1710	929	2249	197	0	404	53	209	210	79	20	259	12	148	149	134	81	295	64
a125_gac-miR-737-5p	1101	1456	4053	2595	3220	2543	2146	3756	974	2619	1227	1743	2314	1139	940	1375	1331	4591	647
a97_gac-miR-734-5p	0	0	0	0	0	0	16	34	0	0	5	0	0	5	0	10	0	0	1
a127_gac-miR-734-3p	0	0	0	0	0	0	24	0	0	0	0	4	0	0	0	0	12	0	0
a177_gac-miR-730-5p	74	155	105	137	106	178	63	35	35	54	75	198	207	75	84	209	233	96	180
a168_gac-miR-727b-5p	3	17	1	11	0	13	74	39	27	5	0	0	47	26	8	1	14	5	0
a124_gac-miR-727b-3p	60	26	78	76	0	105	144	98	47	62	1	43	40	27	11	54	133	1	16
a232_gac-miR-725-3p	4401	644	2480	145	1124	10625	237	1450	180	833	2162	33	107	1022	229	501	1964	6454	108
a223_gac-miR-724-5p	246	506	333	920	182	1231	1715	3723	90	285	506	99	350	442	84	482	774	1464	1076
a248_gac-miR-722-3p	1067	496	528	338	249	332	308	309	155	117	28	220	109	109	35	292	120	85	185
a217_gac-miR-7147-5p	6	0	6	0	77	13	0	0	10	0	8	28	0	2	0	12	4	0	2
a156_gac-miR-7133-3p	1020	346	12541	2043	4388	523	491	864	477	1275	1017	180	724	100	367	735	398	486	463
a99_gac-miR-7132b-5p	481	215	2253	479	1546	259	373	426	306	340	1368	214	786	580	1051	963	870	640	488
a98_gac-miR-7132a-5p_gac-miR-7132b-5p	177	143	1042	266	521	162	214	136	164	134	494	88	239	156	463	391	309	382	172
a100_gac-miR-7132a-5p	177	61	340	100	33	120	67	110	77	91	222	35	199	183	260	193	117	144	118
a202_gac-miR-7-5p	159	116	365	345	2192	244	414	542	132	570	318	113	206	455	99	200	157	256	179
a105_gac-miR-551a-3p	344	3351	1498	2503	117	1397	885	3010	150	255	2844	5591	8131	630	973	5071	2225	2782	3920
a224_gac-miR-499a-5p	325	1439	427	1169	203	3009	2408	6261	128	497	1159	1674	1187	2809	231	14712	3730	1868	2677
a182_gac-miR-489-3p	48	126	74	125	239	711	163	105	106	134	91	69	134	31	73	96	279	265	57
a75_gac-miR-460-5p	394	250	168	141	57	165	215	93	155	0	68	192	58	135	75	171	100	46	190
a47_gac-miR-458-3p	141	180	255	487	535	54	215	130	48	152	275	206	60	89	76	242	103	199	220
a60_gac-miR-456-3p	428	603	919	718	948	508	608	499	250	874	512	487	791	501	426	926	890	1128	452
a164_gac-miR-455-5p	791	1507	720	764	194	959	685	701	356	343	304	690	409	680	421	855	1185	394	494
a102_gac-miR-455-3p	1034	2189	903	1453	906	1756	1131	830	812	426	439	958	659	566	547	1102	1350	309	576
a155_gac-miR-454b-3p	208	286	273	339	803	424	114	243	149	333	224	115	108	119	47	124	429	687	177
a1_gac-miR-451-5p	89571	225649	115193	72613	300988	144998	49659	73482	91599	328589	241087	180487	248214	274938	92855	117984	406458	324730	51506
a134_gac-miR-429a-3p	2061	221	1175	94	76	955	221	492	116	179	135	23	15	153	67	44	76	286	89
a17_gac-miR-425-5p	24135	19850	47398	33170	33146	43197	16534	23897	23077	33808	30368	13176	26631	15212	21423	24883	49107	61608	20816
a247_gac-miR-375a-3p	24095	4569	26489	2723	3289	33086	9220	20736	3985	13648	5712	2204	2502	4867	4375	3046	6958	27535	3275
a116_gac-miR-365-2b-5p	177	375	159	174	135	612	421	424	136	205	63	444	105	142	175	274	108	188	42
a136_gac-miR-365-2b-3p	4269	8874	2000	4072	8578	16584	1958	2956	2480	5140	1881	1382	2625	4370	1266	6285	17909	2693	933
a205_gac-miR-34a-5p	0	28	6	14	0	30	0	0	2	31	15	31	12	16	6	16	73	38	8
a174_gac-miR-338-3p	269	215	241	212	213	339	196	160	50	80	126	239	119	346	61	337	634	149	123
a3_gac-miR-338-1b-5p	4	21	0	5	0	45	0	0	3	15	2	0	0	0	0	2	12	0	0
a4_gac-miR-338-1a-5p	19	34	29	33	50	79	17	25	6	26	11	24	25	29	12	20	49	24	30
a122_gac-miR-33-5p	8	8	13	21	0	9	0	0	3	53	2	0	0	0	0	0	8	0	0
a43_gac-miR-31a-5p	2083	534	1513	990	2000	1884	922	2017	861	1059	1441	828	1498	910	467	1628	1884	1677	607
a214_gac-miR-30e-5p	5874	4101	10013	4035	11417	2415	3069	4438	1175	3810	2880	1567	1214	1018	1110	2372	2687	2112	1538
