Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a103_gac-miR-ENSGACG00000022167-5p	346.940240961203	232.627733029448	132.749973589615	140.540380484069	19.3212001458811	99.0421626486429	289.615409571437	181.92045822184	164.898609029636	167.567160627412	0	622.811841868285	80.5103136259576	115.947955577614
a109_gac-miR-ENSGACG00000022167-3p	126.745970382111	79.5163887446113	40.0606429175761	14.8916959453318	39.5206366620294	43.5785515654029	35.2575281217402	38.0285703627575	74.111734395342	44.0400870879736	0	21.4373641222779	35.6901390300637	17.2688444477298
a10_gac-miR-99a-5p	24163.3673704743	41824.7745606363	12527.984193969	18723.515458265	14813.2128572989	38566.2257980804	15052.4461131172	13313.0830245621	18446.4106910006	17175.6339643097	25938.8548716687	19153.7207020942	20531.7899810857	45586.0488753393
a57_gac-miR-99a-3p	12.8894207168249	34.6826801971177	0	7.4458479726659	0	0	0	0	5.55838007965065	7.51903925892232	0	2.25656464445031	0	16.0353555586062
a244_gac-miR-96-5p	7.51882875148117	0	0	0	23.7123819972177	0	0	0	5.55838007965065	0	0	0	0	13.5683777803591
a165_gac-miR-92a-3p	429151.114529898	538030.726059828	613696.843882371	588990.773643784	753656.784672161	361163.188628035	385839.499802831	448311.621412155	509347.716978867	1998422.0698695	1707411.27583602	1287535.98716027	708692.450694108	437833.665383297
a44_gac-miR-92a-2-5p	328.680228279034	211.479757299498	530.214391556154	262.466141036473	279.279165745008	240.8705395615	605.67396523418	473.815430735978	289.035764141834	627.302703887234	653.290729633275	152.318113500396	400.891561663273	311.455944503698
a181_gac-miR-9-5p	84.8553530524303	121.812340204511	87.1908110559009	108.895526600239	154.569601167048	64.9716586975098	143.548507352799	124.363703078207	100.050841433712	121.378776608318	0	130.880749378118	148.570578753056	22.202800004224
a46_gac-miR-9-1/3/5/6-3p	10.7411839306874	16.0724615547619	43.9881569291032	30.7141228872469	36.0076911809601	12.6773968190263	47.8495024509331	135.669494267135	27.7919003982533	26.8537116390083	0	34.9767519889798	0	41.938622230201
a167_gac-miR-8159-5p	1836.74245214754	785.858778124935	1766.59580238488	183.354006326898	0	320.104269680414	66.7374639447225	214.81003258963	389.086605575546	84.8577287792662	0	24.8222110889534	29.0501131640053	57.9739777888072
