Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a103_gac-miR-ENSGACG00000022167-5p	323	275	169	151	22	125	230	177	89	156	0	552	97	188
a109_gac-miR-ENSGACG00000022167-3p	118	94	51	16	45	55	28	37	40	41	0	19	43	28
a10_gac-miR-99a-5p	22496	49443	15949	20117	16867	48674	11954	12953	9956	15990	16954	16976	24737	73914
a57_gac-miR-99a-3p	12	41	0	8	0	0	0	0	3	7	0	2	0	26
a244_gac-miR-96-5p	7	0	0	0	27	0	0	0	3	0	0	0	0	22
a165_gac-miR-92a-3p	399538	636031	781279	632826	858148	455820	306417	436186	274908	1860471	1115988	1141147	853843	709911
a44_gac-miR-92a-2-5p	306	250	675	282	318	304	481	461	156	584	427	135	483	505
a181_gac-miR-9-5p	79	144	111	117	176	82	114	121	54	113	0	116	179	36
a46_gac-miR-9-1/3/5/6-3p	10	19	56	33	41	16	38	132	15	25	0	31	0	68
a34_gac-miR-8160a-5p	0	0	13	0	0	18	0	0	0	0	0	0	0	0
a167_gac-miR-8159-5p	1710	929	2249	197	0	404	53	209	210	79	0	22	35	94
a125_gac-miR-737-5p	1101	1456	4053	2595	3220	2543	2146	3756	974	2619	4168	1865	726	2091
a97_gac-miR-734-5p	0	0	0	0	0	0	16	34	0	0	0	9	0	0
a127_gac-miR-734-3p	0	0	0	0	0	0	24	0	0	0	0	0	41	0
a177_gac-miR-730-5p	74	155	105	137	106	178	63	35	35	54	0	55	1058	167
a168_gac-miR-727b-5p	3	17	1	11	0	13	74	39	27	5	0	7	0	40
a124_gac-miR-727b-3p	60	26	78	76	0	105	144	98	47	62	0	13	90	158
a232_gac-miR-725-3p	4401	644	2480	145	1124	10625	237	1450	180	833	54	1276	51	575
a223_gac-miR-724-5p	246	506	333	920	182	1231	1715	3723	90	285	0	67	801	213
a248_gac-miR-722-3p	1067	496	528	338	249	332	308	309	155	117	433	18	79	244
a217_gac-miR-7147-5p	6	0	6	0	77	13	0	0	10	0	0	0	193	20
a156_gac-miR-7133-3p	1020	346	12541	2043	4388	523	491	864	477	1275	532	441	706	94
a99_gac-miR-7132b-5p	481	215	2253	479	1546	259	373	426	306	340	1291	650	223	485
a98_gac-miR-7132a-5p_gac-miR-7132b-5p	177	143	1042	266	521	162	214	136	164	134	42	251	47	340
a100_gac-miR-7132a-5p	177	61	340	100	33	120	67	110	77	91	449	89	0	136
a202_gac-miR-7-5p	159	116	365	345	2192	244	414	542	132	570	67	377	376	515
a105_gac-miR-551a-3p	344	3351	1498	2503	117	1397	885	3010	150	255	2004	3662	30161	1403
a224_gac-miR-499a-5p	325	1439	427	1169	203	3009	2408	6261	128	497	126	323	1928	2237
a182_gac-miR-489-3p	48	126	74	125	239	711	163	105	106	134	0	40	47	220
a75_gac-miR-460-5p	394	250	168	141	57	165	215	93	155	0	205	72	150	201
a47_gac-miR-458-3p	141	180	255	487	535	54	215	130	48	152	131	143	1164	260
a60_gac-miR-456-3p	428	603	919	718	948	508	608	499	250	874	560	424	1046	1279
a164_gac-miR-455-5p	791	1507	720	764	194	959	685	701	356	343	0	524	956	1057
a102_gac-miR-455-3p	1034	2189	903	1453	906	1756	1131	830	812	426	383	1026	3415	4399
a155_gac-miR-454b-3p	208	286	273	339	803	424	114	243	149	333	0	196	312	254
a1_gac-miR-451-5p	89571	225649	115193	72613	300988	144998	49659	73482	91599	328589	125790	303513	86603	504293
a134_gac-miR-429a-3p	2061	221	1175	94	76	955	221	492	116	179	255	104	54	88
a17_gac-miR-425-5p	24135	19850	47398	33170	33146	43197	16534	23897	23077	33808	28390	31505	18769	31045
a247_gac-miR-375a-3p	24095	4569	26489	2723	3289	33086	9220	20736	3985	13648	5823	8655	4716	4900
a116_gac-miR-365-2b-5p	177	375	159	174	135	612	421	424	136	205	221	65	214	321
a136_gac-miR-365-2b-3p	4269	8874	2000	4072	8578	16584	1958	2956	2480	5140	477	1979	2088	12187
a205_gac-miR-34a-5p	0	28	6	14	0	30	0	0	2	31	0	17	28	51
a174_gac-miR-338-3p	269	215	241	212	213	339	196	160	50	80	112	318	1322	763
a3_gac-miR-338-1b-5p	4	21	0	5	0	45	0	0	3	15	0	5	0	16
a4_gac-miR-338-1a-5p	19	34	29	33	50	79	17	25	6	26	0	22	2	110
a122_gac-miR-33-5p	8	8	13	21	0	9	0	0	3	53	0	0	0	0
a43_gac-miR-31a-5p	2083	534	1513	990	2000	1884	922	2017	861	1059	882	945	630	2046
a214_gac-miR-30e-5p	5874	4101	10013	4035	11417	2415	3069	4438	1175	3810	2280	3725	10944	4654
a95_gac-miR-30e-3p	4530	5101	10047	8645	16044	7323	5551	8256	3045	5815	3141	7490	68443	8663
a212_gac-miR-30c-2-5p	18501	18383	31337	24965	93984	30618	20572	21182	13310	22010	16702	24203	32830	37884
a211_gac-miR-30c-1-5p_gac-miR-30c-2-5p	137	235	314	246	932	305	202	157	125	409	234	436	718	579
a213_gac-miR-30c-1-5p	5544	6545	10247	5727	2940	7836	3568	6903	1340	1352	3014	10603	61387	7298
a209_gac-miR-30bb-5p_gac-miR-30c-1-5p_gac-miR-30c-2-5p	0	0	0	0	0	0	0	0	0	0	0	6	0	0
a210_gac-miR-30bb-5p	1452	1390	1799	951	3527	1948	844	737	637	958	554	933	1652	1205
a89_gac-miR-30bb-3p	101	65	91	113	110	106	58	102	36	95	297	79	116	78
a208_gac-miR-30a-5p	31179	34749	31334	33472	38488	37244	19093	22804	12782	34427	20804	45367	42365	66130
a110_gac-miR-301c-5p	0	16	20	34	14	10	0	0	2	0	0	9	55	0
a111_gac-miR-301b-5p	22	7	18	25	0	14	0	108	2	48	0	42	0	16
a63_gac-miR-301a-3p	0	0	0	0	0	0	0	0	4	9	0	0	0	0
a143_gac-miR-29b-2b-3p	29	0	12	0	0	0	0	0	2	0	0	0	0	0
a145_gac-miR-29b-1a/2a-3p	194	15	125	86	120	38	45	0	55	23	221	66	86	107
a107_gac-miR-29b-1a-5p	12	12	0	0	72	1	0	34	4	10	0	24	84	41
a144_gac-miR-29a-3p_gac-miR-29b-1a/2a-3p	19	0	5	2	0	4	0	0	0	0	0	0	0	0
a146_gac-miR-29a-3p	461	384	367	260	795	196	145	576	122	608	290	334	1070	1180
a33_gac-miR-29a-3b-5p	48	44	35	191	352	43	1	27	56	161	0	57	0	27
a228_gac-miR-27e-3p	3544	3923	3711	2993	2295	6252	3523	3505	1689	1865	1270	2766	4864	5323
a35_gac-miR-27e-1-5p	0	0	0	2	0	0	0	0	0	0	0	0	0	0
a59_gac-miR-27c-1-5p	1116	996	799	1270	550	906	1138	262	339	481	464	665	1088	1902
a231_gac-miR-27c-1-3p	7601	7760	12886	7101	9117	6219	6223	3930	3101	4150	3468	6479	10853	16716
a36_gac-miR-27b-5p	643	923	550	514	250	519	835	233	265	349	58	191	633	597
a230_gac-miR-27b-3p	13330	17581	12015	7902	6236	9420	9225	7293	3833	5481	5217	8617	13352	20021
a42_gac-miR-27a-5p	183	108	296	200	88	259	147	226	73	66	0	203	260	1539
a227_gac-miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	117	75	174	109	11	132	12	58	52	80	44	27	39	93
a229_gac-miR-27a-3p	793	276	1170	257	458	490	345	233	123	174	132	531	1152	1311
a74_gac-miR-26b-3p	325	383	422	233	1033	620	236	285	233	1438	188	541	77	638
a73_gac-miR-26a-1b-3p	216	149	230	197	436	179	77	218	159	317	289	358	126	378
a226_gac-miR-26-5p	100716	148537	144579	166390	293821	161126	104596	98255	71535	313173	92425	187635	225507	311825
a197_gac-miR-24-6-5p	147	88	141	112	15	141	75	220	35	1	91	157	346	171
a196_gac-miR-24-4a-5p	5	0	0	0	53	0	0	0	0	0	0	0	0	9
a206_gac-miR-24-3p	5577	5370	6682	3595	3213	4592	3186	2318	2040	1776	1907	3530	3444	10539
a198_gac-miR-24-3-5p	20	8	42	15	0	12	16	0	2	0	0	0	0	0
a199_gac-miR-24-2-5p	816	617	547	558	264	723	342	407	275	389	206	658	572	1024
a119_gac-miR-23b-2-5p	779	682	311	379	112	298	464	294	247	214	412	182	317	500
a50_gac-miR-23b-2-3p	13450	17098	11091	6861	4224	8852	6048	4203	3464	3092	2268	4656	7071	10767
a49_gac-miR-23a-3p_gac-miR-23b-2-3p	81	58	170	35	67	36	12	45	43	58	175	69	89	108
a51_gac-miR-23a-3p	95580	102048	166318	86670	68625	121288	60602	51289	44554	58529	30890	83406	82667	167223
a114_gac-miR-23a-3-5p	455	293	617	317	79	379	166	200	132	203	569	316	587	1255
a112_gac-miR-23a-2-5p	389	256	380	325	209	365	100	189	157	159	307	554	141	878
a118_gac-miR-23a-1-5p	173	130	167	109	0	175	168	75	39	59	20	198	123	123
a79_gac-miR-22b-5p	1708	4986	2574	1993	2963	3119	1540	2771	1480	7601	2323	2091	1842	4779
a14_gac-miR-22b-3p	78	157	120	131	287	69	38	0	63	191	107	56	314	257
a45_gac-miR-22a-5p	2702	8129	2974	2935	2883	7279	2416	3244	1785	2986	3762	2028	2670	7613
a13_gac-miR-22a-3p	191622	218084	227863	218218	72301	268372	239869	214160	116813	111670	58402	93148	170826	232246
a219_gac-miR-223-5p	952	590	2168	1369	2656	1158	901	1056	789	1309	846	1065	605	969
