Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP
a103_gac-miR-ENSGACG00000022167-5p	323	275	169	151	22	125	230	177	89	156	74	23	85	174	1679	2510	632	279	369	123
a109_gac-miR-ENSGACG00000022167-3p	118	94	51	16	45	55	28	37	40	41	31	0	13	108	97	237	21	80	0	41
a10_gac-miR-99a-5p	22496	49443	15949	20117	16867	48674	11954	12953	9956	15990	34550	9234	6869	28990	22479	10294	4547	34760	27312	6076
a57_gac-miR-99a-3p	12	41	0	8	0	0	0	0	3	7	32	4	0	43	0	14	0	0	0	2
a244_gac-miR-96-5p	7	0	0	0	27	0	0	0	3	0	0	0	6	7	0	0	24	93	0	4
a165_gac-miR-92a-3p	399538	636031	781279	632826	858148	455820	306417	436186	274908	1860471	991058	635762	1081384	1334883	254512	601260	226980	624539	1884054	230932
a44_gac-miR-92a-2-5p	306	250	675	282	318	304	481	461	156	584	391	59	88	193	55	102	79	538	832	74
a181_gac-miR-9-5p	79	144	111	117	176	82	114	121	54	113	97	51	55	154	22	0	26	63	77	35
a46_gac-miR-9-1/3/5/6-3p	10	19	56	33	41	16	38	132	15	25	0	17	17	24	7	12	0	16	0	4
a167_gac-miR-8159-5p	1710	929	2249	197	0	404	53	209	210	79	148	22	26	397	12	77	0	33	181	24
a125_gac-miR-737-5p	1101	1456	4053	2595	3220	2543	2146	3756	974	2619	7387	1046	1606	2578	1683	3722	204	2392	5596	660
a97_gac-miR-734-5p	0	0	0	0	0	0	16	34	0	0	0	1	0	0	0	0	3	0	0	1
a177_gac-miR-730-5p	74	155	105	137	106	178	63	35	35	54	198	81	103	240	31	91	30	51	698	52
a168_gac-miR-727b-5p	3	17	1	11	0	13	74	39	27	5	6	2	0	0	2	0	4	0	0	1
a124_gac-miR-727b-3p	60	26	78	76	0	105	144	98	47	62	39	9	8	67	45	17	0	90	0	2
a232_gac-miR-725-3p	4401	644	2480	145	1124	10625	237	1450	180	833	157	381	657	2190	35	173	354	12294	393	1391
a223_gac-miR-724-5p	246	506	333	920	182	1231	1715	3723	90	285	164	332	454	154	23	147	30	1266	244	284
a248_gac-miR-722-3p	1067	496	528	338	249	332	308	309	155	117	94	55	13	903	98	33	28	1591	69	33
a217_gac-miR-7147-5p	6	0	6	0	77	13	0	0	10	0	0	47	30	14	0	56	0	18	0	9
a156_gac-miR-7133-3p	1020	346	12541	2043	4388	523	491	864	477	1275	364	403	741	1056	132	684	160	705	1059	161
a99_gac-miR-7132b-5p	481	215	2253	479	1546	259	373	426	306	340	260	271	454	419	263	1145	330	904	594	100
a98_gac-miR-7132a-5p_gac-miR-7132b-5p	177	143	1042	266	521	162	214	136	164	134	60	121	214	226	58	508	77	313	245	60
a100_gac-miR-7132a-5p	177	61	340	100	33	120	67	110	77	91	93	83	98	150	82	193	58	487	283	34
a202_gac-miR-7-5p	159	116	365	345	2192	244	414	542	132	570	465	274	419	886	64	161	575	331	1826	154
a105_gac-miR-551a-3p	344	3351	1498	2503	117	1397	885	3010	150	255	6482	364	711	1764	2080	2961	584	2615	38442	2266
a224_gac-miR-499a-5p	325	1439	427	1169	203	3009	2408	6261	128	497	853	928	311	2913	2882	546	819	3115	1654	1748
a182_gac-miR-489-3p	48	126	74	125	239	711	163	105	106	134	69	41	26	101	54	82	21	126	3	28
a75_gac-miR-460-5p	394	250	168	141	57	165	215	93	155	0	57	70	35	505	37	69	5	77	90	31
a47_gac-miR-458-3p	141	180	255	487	535	54	215	130	48	152	188	174	117	508	48	217	53	361	456	120
a60_gac-miR-456-3p	428	603	919	718	948	508	608	499	250	874	861	452	652	794	97	404	170	738	929	220
a164_gac-miR-455-5p	791	1507	720	764	194	959	685	701	356	343	1153	208	448	962	115	346	20	687	779	229
a102_gac-miR-455-3p	1034	2189	903	1453	906	1756	1131	830	812	426	1268	281	561	1179	1110	788	265	2035	1773	452
a155_gac-miR-454b-3p	208	286	273	339	803	424	114	243	149	333	558	563	688	238	100	656	119	147	373	42
a1_gac-miR-451-5p	89571	225649	115193	72613	300988	144998	49659	73482	91599	328589	460481	172562	261529	274686	187655	322778	47681	321820	278573	83486
a134_gac-miR-429a-3p	2061	221	1175	94	76	955	221	492	116	179	23	84	223	425	15	46	44	3703	102	69
