;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
a233_gac-miR-204-1/2b-5p;25392.0862603548;3.61115411854598;0.475057093401957;7.60151604659969;2.92681471386167e-14;6.99508716612938e-12
a101_gac-miR-204-2b-3p;71.4340181218129;6.77197707286475;0.966062796210495;7.0098725459967;2.38535320077117e-12;2.85049707492154e-10
a123_gac-miR-122-5p;175767.778382382;2.92819100521676;0.698326497038872;4.19315465993805;2.75101746303183e-05;0.00219164391221536
a153_gac-miR-196d-5p;131.359313823238;3.03854697001846;0.779372888870055;3.89870755502386;9.67074867646886e-05;0.00577827233419014
a105_gac-miR-551a-3p;3115.72628961469;-2.49485524038572;0.658250176695056;-3.79013227601684;0.000150567082308658;0.00719710653435384
a69_gac-miR-196d-3p;309.208244392236;2.29273077133489;0.649572323186641;3.52960046094224;0.000416187661013861;0.0142291308512504
a71_gac-miR-194a-3p;17.1021216668523;7.10847943189289;2.01416639569653;3.52924140084994;0.000416752786438297;0.0142291308512504
a154_gac-miR-196a-5p;732.868800854863;2.30755596835595;0.66118257805645;3.49004351436335;0.00048294190331414;0.0144278893615099
a248_gac-miR-722-3p;276.856336612576;2.10194059279833;0.646491807773974;3.25130275051097;0.00114877457546206;0.0304235389981988
a170_gac-miR-148a-3p;1490.81964616377;1.2966865105203;0.402446584011686;3.22200898711727;0.00127295142251878;0.0304235389981988
a182_gac-miR-489-3p;122.274058104349;2.648730290701;0.844546919025205;3.13627370017313;0.00171109433734014;0.0354111547350805
a28_gac-miR-125b-2-3p;357.761882168954;2.20108653438409;0.704344533722562;3.12501400806085;0.0017779659281212;0.0354111547350805
a215_gac-miR-194a-5p;1457.79186522986;2.4003657388435;0.779686141356689;3.07863076117623;0.00207954246317509;0.0355007606213462
a160_gac-miR-135c-5p;83.2451257422862;2.64721914296413;0.856780333254181;3.08972911750856;0.00200339119886254;0.0355007606213462
a13_gac-miR-22a-3p;152763.644312128;0.970876374411417;0.322077518469631;3.01441832706794;0.00257472523166543;0.0410239553578691
