;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
miR-206-1-3p;5440.83101511312;3.09203131498021;0.868602966885376;3.55977521705638;0.00037117236419471;0.0352613745984975
miR-1-3p;10977.193837237;3.65026843484893;1.01112378131108;3.61011035673179;0.000306066758118323;0.0352613745984975
miR-23a-1-5p;35.5851134539475;-8.52329234943808;2.49666222984549;-3.41387483158487;0.000640459922380621;0.0405624617507727
miR-196d-5p;54.134340915991;9.43401623965202;2.97986779780244;3.16591771172174;0.00154594520429344;0.0734323972039384
miR-21a-3p;28.8465872276841;-8.22007907459703;2.70774607034479;-3.03576438153609;0.00239926775033784;0.0911721745128381
REV_miR-19b-3p;42.871359201622;-8.79186343520971;3.11578897811041;-2.82171337564124;0.00477678486553998;0.151264854075433
miR-724-5p;1140.93028024534;2.59858040160637;1.02189505958168;2.54290338057817;0.0109935623920488;0.298396693498467
miR-365-2b-5p;123.926941845827;4.58789873450658;1.89030966065792;2.4270619941231;0.0152216545618967;0.321346040751152
miR-143-3p;14487.7355837254;2.11806724301097;0.868511922120371;2.43873133927737;0.0147389213853425;0.321346040751152
miR-2188-3p;10929.0314054336;2.04486795797743;0.860508654209957;2.37634792860374;0.0174849670309434;0.332214373587925
miR-737-5p;402.415201166717;-2.13122868946217;0.927556262302445;-2.29768131172106;0.0215799339681575;0.34168228782916
miR-499a-5p;1502.43883589698;2.82998312012529;1.22399005930434;2.31209649017388;0.0207723665414749;0.34168228782916
miR-155-5p;3362.49179442285;-1.4180478791209;0.661576753289036;-2.14343667922286;0.0320780504892304;0.46883304561183
miR-7133-3p;90.8960437746059;-3.32329682920877;1.63614005271664;-2.03118114717061;0.0422366221202156;0.573211300202925
let-7c-2/d-3p;18.727250888054;-7.5970485540892;3.90879677681188;-1.94357726632326;0.0519464494820829;0.657988360106384
let-7c-2-5p;17255.4316781551;1.3371204546999;0.712214472417774;1.87741264251587;0.0604615600726146;0.717981025862299
miR-ENSGACG00000022167-5p;7.21739530222914;-6.22036759147418;3.91203896888303;-1.59005767604872;0.111821804968422;0.782125723546797
miR-92a-2-5p;152.215438879317;1.85866694113842;1.26969361456597;1.46387043284752;0.143229353408258;0.782125723546797
miR-9-5p;1178.82107897645;-1.59714480195318;0.91807543843838;-1.73966619199603;0.08191764904428;0.782125723546797
miR-727b-5p;158.375430025171;-1.94473484118757;1.23773656827879;-1.5712025410156;0.11613561005354;0.782125723546797
miR-29a-3p_gac-miR-29b-1a/2a-3p;6.73853959121358;-6.12394456627118;3.91240322834382;-1.56526416344451;0.117520982236935;0.782125723546797
miR-24-3p;1058.92570948909;1.23624844608711;0.755027371152893;1.63735580102137;0.101556147747932;0.782125723546797
miR-22b-3p;4.44782117848742;5.83763540284105;3.91793608981663;1.48997718926913;0.136230233817322;0.782125723546797
miR-2184-5p;5.70530684566072;-5.88169882764984;3.9134331463563;-1.50295114486015;0.132851642779104;0.782125723546797
miR-216b-5p;5.93430280405507;-5.93774992968234;3.91317926883449;-1.51737232612163;0.129172706863015;0.782125723546797
miR-214a-5p;8.07724559147387;-6.38296136113424;3.91147720320278;-1.63185441958035;0.102710158002584;0.782125723546797
