Gene	C17_F	C19_F	C31_F	C13_M	C15_M	C20_M
miR-ENSGACG00000022167-5p	0	0	0	0	45	0
miR-99a-5p	1832	3851	2090	2447	1792	2551
miR-92a-3p	185199	162168	144894	269084	217030	268664
miR-92a-2-5p	471	198	23	34	107	90
miR-92a-1-5p	498	1054	465	715	419	1014
miR-9-7-3p	296	684	159	963	1021	289
miR-9-5p	528	842	385	1793	3564	382
miR-737-5p	240	184	32	598	1007	646
miR-733-1-5p	21	272	0	0	200	58
miR-730-5p	0	0	0	0	0	83
miR-727b-5p	113	47	21	398	367	60
miR-727b-3p	164	84	158	322	219	120
miR-725-3p	6233	2838	33	37	9014	20356
miR-724-5p	258	7726	489	436	202	540
miR-722-3p	77	224	0	90	157	291
miR-7147-5p	0	0	0	0	98	0
miR-7133-3p	0	19	24	206	84	323
miR-7132b-5p	89	1283	252	974	1320	493
miR-7132a-5p_gac-miR-7132b-5p	364	190	1	373	212	407
miR-7132a-5p	61	107	158	102	529	113
miR-7-5p	0	633	311	92	50	119
miR-551a-3p	176	0	44	93	68	86
miR-499a-5p	58	9802	1104	776	330	134
miR-489-3p	0	90	0	98	21	444
miR-460-5p	65	0	123	88	23	0
miR-458-3p	83	33	44	140	7	176
miR-456-3p	17	127	172	61	214	76
miR-455-5p	23	34	115	324	35	40
miR-455-3p	140	0	45	534	95	144
miR-454b-3p	0	202	0	138	31	122
miR-451-5p	9227	33034	20650	18961	17335	7331
miR-429a-3p	689	2103	0	30	768	2955
miR-425-5p	103616	123258	21237	64621	79792	183260
miR-375a-3p	186864	444945	5381	31510	178498	416761
miR-365-2b-5p	213	254	192	33	0	0
miR-365-2b-3p	1325	1427	741	4010	2083	1880
miR-338-3p	0	76	54	136	0	0
miR-31a-5p	304	447	193	14	288	543
miR-30e-5p	569	2037	596	1287	1197	1535
miR-30e-3p	37282	89370	5439	13385	38809	125486
miR-30c-2-5p	21141	20279	1748	14526	21812	61196
miR-30c-1-5p_gac-miR-30c-2-5p	337	295	2	148	171	1458
miR-30c-1-5p	22498	30715	623	3759	15863	77077
miR-30bb-5p	446	236	26	352	428	1066
miR-30bb-3p	0	61	41	49	0	5
miR-30a-5p	12062	22805	9424	12399	12920	20175
miR-29b-1a/2a-3p	43	141	0	0	104	51
miR-29a-3p_gac-miR-29b-1a/2a-3p	0	0	0	0	0	57
miR-29a-3p	0	155	0	37	98	8
miR-27e-3p	652	1516	751	601	948	1363
miR-27c-1-3p	698	1795	1075	1424	702	1024
miR-27b-5p	56	328	19	91	245	482
miR-27b-3p	999	3672	839	891	845	3290
miR-27a-5p	101	36	31	0	191	226
miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	15	69	1	83	0	88
miR-27a-3p	56	582	337	12	126	449
