		O25_F	O32_F	O55_F	O59_F	O63_F	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M
nomCol	Gene	O25_F	O32_F	O55_F	O59_F	O63_F	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M
miR-ENSGACG00000022167-5p	miR-ENSGACG00000022167-5p	423	192	528	11	50	724	99	757	340	139	274	1310	221
miR-ENSGACG00000022167-3p	miR-ENSGACG00000022167-3p	248	145	39	25	189	84	327	581	111	0	219	208	55
miR-99a-5p	miR-99a-5p	28722	17763	17890	15332	11023	29281	8309	16561	13503	9032	10627	20504	22558
miR-92a-3p	miR-92a-3p	190588	165790	236304	646080	182022	269996	193519	125756	172328	55290	93309	207015	247822
miR-92a-1-5p	miR-92a-1-5p	568	238	245	520	213	367	317	266	299	132	122	277	296
miR-9-5p	miR-9-5p	328	344	1957	2647	0	39	2700	34	85	1004	271	147	123
miR-9-1/3/5/6-3p	miR-9-1/3/5/6-3p	43	105	604	181	11	8	392	33	8	153	131	32	152
miR-8160a-5p_gac-miR-8160b-5p	miR-8160a-5p_gac-miR-8160b-5p	0	0	0	0	0	0	71	0	0	0	0	0	0
miR-8160a-5p	miR-8160a-5p	0	0	0	0	0	27	0	2	0	0	0	5	2
miR-8159-5p	miR-8159-5p	41	3369	147	0	0	0	9733	2	0	1069	1	37	0
miR-737-5p	miR-737-5p	1712	2811	1127	1503	163	118	741	457	896	55	703	459	459
miR-730-5p	miR-730-5p	6	5	16	0	0	14	0	7	7	0	9	24	11
miR-727b-5p	miR-727b-5p	18	0	0	0	0	13	0	2	0	0	0	6	0
miR-725-3p	miR-725-3p	50	1626	3388	2197	1050	1031	500	733	1416	159	2396	477	5546
miR-724-5p	miR-724-5p	1299	60	130	9	0	164	41	629	99	63	42	111	1659
miR-722-3p	miR-722-3p	209	2201	256	85	41	55	143	14	145	62	128	29	21
miR-7147-5p	miR-7147-5p	0	3	0	84	0	0	0	1	0	0	0	12	0
miR-7133-3p	miR-7133-3p	432	401	457	2046	166	96	110	224	238	0	169	433	302
miR-7132b-3p	miR-7132b-3p	678	709	1839	3955	278	672	1132	275	668	405	693	670	615
miR-7132a-5p_gac-miR-7132b-5p	miR-7132a-5p_gac-miR-7132b-5p	657	937	720	1454	96	245	1467	411	721	148	598	544	898
