Gene	B9_F	B31_F	B27_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M
miR-ENSGACG00000022167-5p	23.8312192655744	5.32082207736782	4.18225605537405	195.443813725799	71.792384181132	262.59457576442	3.73894791480811	73.9337172918872	0	0	0	0	0	0	9.67350683106228	16.3403314069431	0.959862714626688	0	589.83693488436	63.2446340609463	800.680813200296	263.078850281058	181.656489675047	205.497587189686	1154.62263262031	130.745382117281	0	0	0
miR-ENSGACG00000022167-3p	0	0	0	114.586443981083	54.2182068034591	19.3961902553265	8.49760889729116	279.469451363334	0	0	0	0	0	0	0	0	0	0	68.4341195169699	208.898942807368	614.525168387545	85.8875070035218	0	164.248071512924	183.329395103072	32.5384435133504	0	0	0
miR-99a-5p	6736.98207238107	5565.57989292674	7307.16173893036	13270.7735646156	6641.91729275754	8897.38060686642	5211.41358453072	16299.4273141695	3499.36924722363	1317.53125511747	3498.04679690854	2581.13652040308	1579.13723654082	10516.6965407417	9176.37269739638	11214.9141222986	9300.10984201798	8080.52515312067	23854.9934949571	5308.0774183071	17516.6115553634	10448.0991627798	11803.751185216	7970.1564199445	18072.0476788144	13345.4947049847	1923.37172536968	4375.56208734203	3195.11717655784
miR-99a-3p	1.03613996806845	0	14.4477936458376	0	0	0	0	0	0	0	0	0	0	0	7.1499833099156	0	4.79931357313344	13.1552270862281	0	0	0	0	0	0	0	0	0	0	0
miR-92a-3p	512959.741711712	408893.204796043	244160.108512737	88059.6821994625	61991.9759030723	117523.008771658	219605.406254475	269151.261778078	222182.218440798	267943.731066599	312625.626961986	261352.096618702	356079.110937508	75331.4492770965	321044.344709295	215326.532707371	138720.799311921	133810.000168657	219963.553965522	123626.649887275	133012.43902882	133340.74150363	72257.4626916067	69980.9283324175	182461.224650301	146613.493606646	792346.042197507	340232.170665259	335882.547272351
miR-92a-2-5p	68.3852378925178	254.069254194314	120.144810318018	0	0	0	0	0	507.436269605328	1261.02046643066	468.156356809523	464.925211749623	1078.16956150028	122.700174561923	126.596763310859	78.9782684668914	96.9461341772955	109.042215625846	0	0	0	0	0	0	0	0	2080.68453624096	122.736664441572	400.771618166857
miR-92a-1-5p	479.732805215693	404.382477879955	361.575046241884	262.439920085707	88.9926428911949	121.847861860384	176.750265063656	314.957635663439	0	0	0	0	0	0	373.060893876184	223.317862561555	136.30050547699	222.177168567407	298.991926937238	202.510595932525	281.348872273816	231.35463598246	172.50832113026	91.4989256829988	244.145396363226	175.115986908213	0	0	0
miR-9-5p	9.32525971261606	22.6134938288133	62.3536357346677	151.549813007239	128.628021657861	973.290880248048	899.726830045188	0	2.77287579019305	206.28413772385	53.8161045678237	219.102685996949	0	93.6396069025203	39.9557890848225	59.0067523028499	26.3962246522339	43.8507569540936	31.7729840614503	1724.85365620763	35.9618859297359	65.7697125702644	1312.10874556652	203.247613607317	129.564524423806	72.7677918571291	329.466452956843	0	0
miR-9-1/3/5/6-3p	6.21683980841071	19.9530827901293	47.525636992887	19.8678108515588	39.2614600990566	300.392279851723	61.522688416388	16.2654178042152	0	0	0	32.0638077068706	0	0	24.8146479579424	73.5314913312437	12.4782152901469	25.7257774130682	6.51753519209237	250.423197493848	34.9041834023907	6.19009059484842	199.95282676462	98.2488464301053	28.2045223235496	89.9244257096229	0	0	0
miR-8159-5p	69.4213778605862	0	7.60410191886192	18.9437266259049	1259.7319911783	73.1087171162305	0	0	77.6405221254053	0	11.375761941166	0	0	0	9.25291957753783	16.3403314069431	17.7574602205937	11.4011968080643	0	6217.77801328475	2.11540505469035	0	1397.05602491097	0.749991194122941	32.6114789366042	0	0	0	0
