group	description	lib.size	norm.factors
F	B9_F	1991371	1
F	B31_F	1193700	1
F	B27_F	3995062	1
F	O25_F	3863670	1
F	O32_F	6065983	1
F	O55_F	4424113	1
F	O59_F	4832975	1
F	O63_F	1274412	1
F	T9_F	626876	1
F	T26_F	4631811	1
F	T31_F	3410801	1
F	T32_F	440110	1
F	T13_F	420716	1
F	T23_F	403552	1
M	B11_M	4183626	1
M	B14_M	1774618	1
M	B17_M	2961052	1
M	B19_M	4603404	1
M	O49_M	2855983	1
M	O51_M	3515642	1
M	O29_M	1425191	1
M	O33_M	1940092	1
M	O38_M	2375449	1
M	O39_M	2050093	1
M	O46_M	1752870	1
M	O53_M	2830226	1
M	T1_M	761291	1
M	T3_M	383994	1
M	T12_M	571388	1
