Gene	D25_M_I	D45_M_I	D53_M_I	D56_M_I	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a103_gac-miR-ENSGACG00000022167-5p	0	552	97	188	17	140	126	165	105	185	44	63	110
a109_gac-miR-ENSGACG00000022167-3p	0	19	43	28	10	12	8	49	14	32	2	6	6
a10_gac-miR-99a-5p	16954	16976	24737	73914	10957	19585	19082	36703	16242	27910	70371	13548	10300
a57_gac-miR-99a-3p	0	2	0	26	10	11	21	38	9	1	66	0	3
a244_gac-miR-96-5p	0	0	0	22	2	0	0	1	0	0	0	34	0
a165_gac-miR-92a-3p	1115988	1141147	853843	709911	734628	490084	632707	418813	365763	787878	731993	1277953	528429
a44_gac-miR-92a-2-5p	427	135	483	505	173	364	556	175	228	299	312	780	208
a181_gac-miR-9-5p	0	116	179	36	77	52	32	313	72	192	255	87	108
a46_gac-miR-9-1/3/5/6-3p	0	31	0	68	0	2	25	27	6	39	59	40	20
a34_gac-miR-8160a-5p	0	0	0	0	0	0	2	0	0	0	0	0	2
a167_gac-miR-8159-5p	0	22	35	94	20	259	12	148	149	134	81	295	64
a125_gac-miR-737-5p	4168	1865	726	2091	1227	1743	2314	1139	940	1375	1331	4591	647
a97_gac-miR-734-5p	0	9	0	0	5	0	0	5	0	10	0	0	1
a127_gac-miR-734-3p	0	0	41	0	0	4	0	0	0	0	12	0	0
a177_gac-miR-730-5p	0	55	1058	167	75	198	207	75	84	209	233	96	180
a168_gac-miR-727b-5p	0	7	0	40	0	0	47	26	8	1	14	5	0
a124_gac-miR-727b-3p	0	13	90	158	1	43	40	27	11	54	133	1	16
a232_gac-miR-725-3p	54	1276	51	575	2162	33	107	1022	229	501	1964	6454	108
a223_gac-miR-724-5p	0	67	801	213	506	99	350	442	84	482	774	1464	1076
a248_gac-miR-722-3p	433	18	79	244	28	220	109	109	35	292	120	85	185
a217_gac-miR-7147-5p	0	0	193	20	8	28	0	2	0	12	4	0	2
a156_gac-miR-7133-3p	532	441	706	94	1017	180	724	100	367	735	398	486	463
a99_gac-miR-7132b-5p	1291	650	223	485	1368	214	786	580	1051	963	870	640	488
a98_gac-miR-7132a-5p_gac-miR-7132b-5p	42	251	47	340	494	88	239	156	463	391	309	382	172
a100_gac-miR-7132a-5p	449	89	0	136	222	35	199	183	260	193	117	144	118
a202_gac-miR-7-5p	67	377	376	515	318	113	206	455	99	200	157	256	179
a105_gac-miR-551a-3p	2004	3662	30161	1403	2844	5591	8131	630	973	5071	2225	2782	3920
a224_gac-miR-499a-5p	126	323	1928	2237	1159	1674	1187	2809	231	14712	3730	1868	2677
a182_gac-miR-489-3p	0	40	47	220	91	69	134	31	73	96	279	265	57
a75_gac-miR-460-5p	205	72	150	201	68	192	58	135	75	171	100	46	190
a47_gac-miR-458-3p	131	143	1164	260	275	206	60	89	76	242	103	199	220
a60_gac-miR-456-3p	560	424	1046	1279	512	487	791	501	426	926	890	1128	452
a164_gac-miR-455-5p	0	524	956	1057	304	690	409	680	421	855	1185	394	494
a102_gac-miR-455-3p	383	1026	3415	4399	439	958	659	566	547	1102	1350	309	576
a155_gac-miR-454b-3p	0	196	312	254	224	115	108	119	47	124	429	687	177
a1_gac-miR-451-5p	125790	303513	86603	504293	241087	180487	248214	274938	92855	117984	406458	324730	51506
a134_gac-miR-429a-3p	255	104	54	88	135	23	15	153	67	44	76	286	89
a17_gac-miR-425-5p	28390	31505	18769	31045	30368	13176	26631	15212	21423	24883	49107	61608	20816
a247_gac-miR-375a-3p	5823	8655	4716	4900	5712	2204	2502	4867	4375	3046	6958	27535	3275
a116_gac-miR-365-2b-5p	221	65	214	321	63	444	105	142	175	274	108	188	42
a136_gac-miR-365-2b-3p	477	1979	2088	12187	1881	1382	2625	4370	1266	6285	17909	2693	933
a205_gac-miR-34a-5p	0	17	28	51	15	31	12	16	6	16	73	38	8
a174_gac-miR-338-3p	112	318	1322	763	126	239	119	346	61	337	634	149	123
a3_gac-miR-338-1b-5p	0	5	0	16	2	0	0	0	0	2	12	0	0
a4_gac-miR-338-1a-5p	0	22	2	110	11	24	25	29	12	20	49	24	30
