Gene	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a103_gac-miR-ENSGACG00000022167-5p	0	36	76	100	124	0	552	97	188
a109_gac-miR-ENSGACG00000022167-3p	0	6	8	0	128	0	19	43	28
a10_gac-miR-99a-5p	5137	18274	15077	25907	6578	16954	16976	24737	73914
a57_gac-miR-99a-3p	0	6	0	0	0	0	2	0	26
a244_gac-miR-96-5p	0	4	3	0	0	0	0	0	22
a165_gac-miR-92a-3p	703097	1628249	1139090	660250	697040	1115988	1141147	853843	709911
a44_gac-miR-92a-2-5p	551	89	225	351	313	427	135	483	505
a181_gac-miR-9-5p	0	121	161	39	128	0	116	179	36
a46_gac-miR-9-1/3/5/6-3p	0	6	33	34	0	0	31	0	68
a167_gac-miR-8159-5p	0	17	74	13	200	0	22	35	94
a125_gac-miR-737-5p	2820	2237	4969	2881	356	4168	1865	726	2091
a127_gac-miR-734-3p	0	0	0	0	0	0	0	41	0
a177_gac-miR-730-5p	0	99	136	413	233	0	55	1058	167
a168_gac-miR-727b-5p	38	0	0	0	0	0	7	0	40
a124_gac-miR-727b-3p	0	38	26	45	0	0	13	90	158
a232_gac-miR-725-3p	189	6400	1619	566	0	54	1276	51	575
a223_gac-miR-724-5p	0	158	220	289	507	0	67	801	213
a248_gac-miR-722-3p	0	68	108	243	95	433	18	79	244
a217_gac-miR-7147-5p	0	61	29	50	0	0	0	193	20
a156_gac-miR-7133-3p	1124	2122	1028	418	100	532	441	706	94
a99_gac-miR-7132b-5p	0	2519	662	379	326	1291	650	223	485
a98_gac-miR-7132a-5p_gac-miR-7132b-5p	0	1005	318	237	242	42	251	47	340
a100_gac-miR-7132a-5p	0	510	147	236	0	449	89	0	136
a202_gac-miR-7-5p	0	504	535	848	350	67	377	376	515
a105_gac-miR-551a-3p	6327	5109	2358	14052	4839	2004	3662	30161	1403
a224_gac-miR-499a-5p	134	238	1770	3530	1373	126	323	1928	2237
a182_gac-miR-489-3p	0	28	22	137	0	0	40	47	220
a75_gac-miR-460-5p	309	73	58	61	0	205	72	150	201
a47_gac-miR-458-3p	0	555	412	424	155	131	143	1164	260
a60_gac-miR-456-3p	618	695	830	538	610	560	424	1046	1279
a164_gac-miR-455-5p	84	695	712	617	431	0	524	956	1057
a102_gac-miR-455-3p	982	1096	671	1628	251	383	1026	3415	4399
a155_gac-miR-454b-3p	0	882	1089	612	0	0	196	312	254
a1_gac-miR-451-5p	56574	236483	133870	357129	61618	125790	303513	86603	504293
a134_gac-miR-429a-3p	0	798	351	29	81	255	104	54	88
a17_gac-miR-425-5p	13175	102244	60578	17058	35047	28390	31505	18769	31045
a247_gac-miR-375a-3p	6498	28729	16026	3975	8286	5823	8655	4716	4900
a116_gac-miR-365-2b-5p	898	62	66	276	0	221	65	214	321
a136_gac-miR-365-2b-3p	687	1691	1262	7184	504	477	1979	2088	12187
a205_gac-miR-34a-5p	0	29	6	36	0	0	17	28	51
a174_gac-miR-338-3p	0	294	285	1063	306	112	318	1322	763
a3_gac-miR-338-1b-5p	0	8	0	32	0	0	5	0	16
a4_gac-miR-338-1a-5p	92	12	26	11	132	0	22	2	110
a122_gac-miR-33-5p	0	11	19	0	0	0	0	0	0
a43_gac-miR-31a-5p	576	1260	1323	864	219	882	945	630	2046
