		B43_F	B54_F	B60_F	T44_F	T47_F	C17_F	C19_F	C31_F	B48_M	B49_M	B59_M	T41_M	T43_M	T45_M	T63_M	T69_M	C13_M	C15_M	C20_M
nomCol	Gene	B43_F	B54_F	B60_F	T44_F	T47_F	C17_F	C19_F	C31_F	B48_M	B49_M	B59_M	T41_M	T43_M	T45_M	T63_M	T69_M	C13_M	C15_M	C20_M
miR-ENSGACG00000022167-5p	miR-ENSGACG00000022167-5p	7	10	30	0	0	0	0	0	18	4	0	0	0	0	0	0	0	45	0
miR-ENSGACG00000022167-3p	miR-ENSGACG00000022167-3p	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-99a-5p	miR-99a-5p	11636	2565	4058	4106	1233	1832	3851	2090	2736	5385	1112	4384	4887	22329	283	6297	2447	1792	2551
miR-99a-3p	miR-99a-3p	14	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
miR-92a-3p	miR-92a-3p	294150	74410	65407	432500	84353	185199	162168	144894	74066	192011	26844	149662	128655	576572	132046	450015	269084	217030	268664
miR-92a-2-5p	miR-92a-2-5p	161	51	232	687	136	471	198	23	43	196	93	225	188	1001	289	1481	34	107	90
miR-92a-1-5p	miR-92a-1-5p	724	235	852	0	0	498	1054	465	166	718	372	0	0	0	0	0	715	419	1014
miR-9-5p	miR-9-5p	0	22	56	14	4	528	842	385	7	78	57	58	39	139	50	179	1793	3564	382
miR-9-1/3/5/6-3p	miR-9-1/3/5/6-3p	15	0	12	0	0	0	0	0	6	9	40	0	0	1	0	0	0	0	0
miR-8159-5p	miR-8159-5p	125	2	43	31	7	0	0	0	1	21	14	15	2	69	0	10	0	0	0
miR-737-5p	miR-737-5p	77	52	17	62	23	240	184	32	73	265	11	144	273	239	76	295	598	1007	646
miR-733-1-5p	miR-733-1-5p	0	4	7	0	0	21	272	0	4	0	0	0	0	0	0	0	0	200	58
miR-730-5p	miR-730-5p	12	4	0	66	15	0	0	0	0	12	0	14	90	207	7	279	0	0	83
miR-728b-5p	miR-728b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-727b-5p	miR-727b-5p	124	36	24	0	0	113	47	21	18	52	20	0	0	0	0	0	398	367	60
miR-727b-3p	miR-727b-3p	59	15	14	0	0	164	84	158	14	99	7	0	0	0	0	0	322	219	120
miR-725-3p	miR-725-3p	258	180	40	354	14	6233	2838	33	9	508	186	750	2066	343	42	804	37	9014	20356
miR-724-5p	miR-724-5p	17	5	4	0	0	258	7726	489	8	38	8	0	13	39	0	2	436	202	540
miR-722-3p	miR-722-3p	113	2	0	0	5	77	224	0	9	37	8	19	15	97	0	90	90	157	291
miR-7147-5p	miR-7147-5p	14	2	16	0	0	0	0	0	5	4	0	0	0	0	0	0	0	98	0
miR-7133-3p	miR-7133-3p	101	33	23	36	0	0	19	24	58	129	93	95	45	40	0	17	206	84	323
miR-7132b-5p	miR-7132b-5p	472	250	128	0	0	89	1283	252	147	594	291	0	0	0	0	0	974	1320	493
miR-7132a-5p_gac-miR-7132b-5p	miR-7132a-5p_gac-miR-7132b-5p	425	151	27	1986	346	364	190	1	83	297	49	1176	2175	4958	1425	4350	373	212	407
miR-7132a-5p	miR-7132a-5p	171	59	37	0	0	61	107	158	27	184	59	0	0	0	0	0	102	529	113
miR-7-5p	miR-7-5p	63	24	138	80	55	0	633	311	16	70	37	33	62	178	38	221	92	50	119
miR-551a-3p	miR-551a-3p	1850	176	21	354	134	176	0	44	35	1472	35	100	149	1331	0	696	93	68	86
miR-499a-5p	miR-499a-5p	116	121	28	148	39	58	9802	1104	117	378	11	187	142	1970	5	174	776	330	134
miR-489-5p	miR-489-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-489-3p	miR-489-3p	117	29	18	179	17	0	90	0	13	142	28	106	39	201	5	99	98	21	444
miR-460-5p	miR-460-5p	183	18	0	162	38	65	0	123	11	78	29	56	37	335	2	51	88	23	0
miR-458-3p	miR-458-3p	62	0	0	0	10	83	33	44	9	27	2	21	1	51	1	53	140	7	176
miR-456-3p	miR-456-3p	300	131	90	77	42	17	127	172	93	316	137	38	81	323	40	314	61	214	76
miR-455-5p	miR-455-5p	81	25	25	0	31	23	34	115	26	101	4	123	157	383	30	230	324	35	40
miR-455-3p	miR-455-3p	330	54	0	176	91	140	0	45	19	209	28	111	338	769	14	219	534	95	144
miR-454b-3p	miR-454b-3p	6	8	6	0	0	0	202	0	5	13	0	21	2	0	1	14	138	31	122
miR-451-5p	miR-451-5p	160611	43822	66087	32241	34694	9227	33034	20650	75751	61682	7810	31267	32164	285371	42682	131833	18961	17335	7331
miR-429a-3p	miR-429a-3p	39	32	0	50	15	689	2103	0	4	79	45	50	164	88	30	152	30	768	2955
miR-425-5p	miR-425-5p	8259	2983	2304	2911	1219	103616	123258	21237	2020	5750	1054	5827	3101	7125	535	6662	64621	79792	183260
miR-375a-3p	miR-375a-3p	967	3111	1259	3684	804	186864	444945	5381	136	1884	2528	3726	3097	1167	1063	4206	31510	178498	416761
miR-365-2b-5p	miR-365-2b-5p	89	42	9	0	13	213	254	192	9	101	14	12	39	117	0	96	33	0	0
miR-365-2b-3p	miR-365-2b-3p	1655	509	448	355	567	1325	1427	741	512	854	117	752	789	8933	120	712	4010	2083	1880
miR-34a-5p	miR-34a-5p	29	2	0	0	0	0	0	0	5	0	9	0	0	30	0	0	0	0	0
miR-338-3p	miR-338-3p	54	25	64	0	32	0	76	54	32	69	12	200	99	355	15	175	136	0	0
miR-338-1b-5p	miR-338-1b-5p	0	1	6	18	8	0	0	0	1	0	0	32	4	1	15	12	0	0	0
miR-338-1a-5p	miR-338-1a-5p	38	6	27	0	0	0	0	0	4	1	0	7	5	31	0	0	0	0	0
miR-31a-5p	miR-31a-5p	141	170	35	0	3	304	447	193	43	155	65	34	96	103	5	140	14	288	543
miR-30e-5p	miR-30e-5p	882	214	212	339	304	569	2037	596	613	1225	181	584	794	1009	351	1658	1287	1197	1535
miR-30e-3p	miR-30e-3p	1875	505	763	1712	1157	37282	89370	5439	540	1739	468	1950	1505	3299	580	3385	13385	38809	125486
miR-30c-2-5p	miR-30c-2-5p	6971	1505	1175	4386	1704	21141	20279	1748	1041	5949	968	3945	5263	10566	995	6791	14526	21812	61196
miR-30c-1-5p_gac-miR-30c-2-5p	miR-30c-1-5p_gac-miR-30c-2-5p	45	18	10	148	27	337	295	2	30	88	2	7	72	240	26	171	148	171	1458
miR-30c-1-5p	miR-30c-1-5p	2736	466	355	1028	287	22498	30715	623	261	1737	459	1062	1092	1554	117	1665	3759	15863	77077
miR-30bb-5p	miR-30bb-5p	802	163	114	130	91	446	236	26	229	578	66	400	376	811	106	420	352	428	1066
miR-30bb-3p	miR-30bb-3p	16	12	20	0	9	0	61	41	4	67	20	38	15	57	20	61	49	0	5
miR-30a-5p	miR-30a-5p	28490	5939	10513	11335	7115	12062	22805	9424	8502	18234	4266	12000	13013	54151	6704	38620	12399	12920	20175
miR-301b-5p	miR-301b-5p	0	3	0	0	0	0	0	0	1	9	3	0	0	0	0	0	0	0	0
miR-29b-1a/2a-3p	miR-29b-1a/2a-3p	32	13	9	18	16	43	141	0	13	53	18	32	11	58	1	31	0	104	51
miR-29a-3p_gac-miR-29b-1a/2a-3p	miR-29a-3p_gac-miR-29b-1a/2a-3p	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	57
miR-29a-3p	miR-29a-3p	34	31	16	65	44	0	155	0	96	75	39	161	113	407	98	357	37	98	8
miR-27e-3p	miR-27e-3p	802	265	258	360	110	652	1516	751	126	523	292	648	809	4805	85	1687	601	948	1363
miR-27c-1-5p	miR-27c-1-5p	577	231	576	79	116	0	0	0	146	953	230	290	160	534	43	709	0	0	0
miR-27c-1-3p	miR-27c-1-3p	3245	1062	2032	1366	993	698	1795	1075	2012	5443	1314	2404	2734	6091	505	4503	1424	702	1024
miR-27b-5p	miR-27b-5p	35	13	52	1	33	56	328	19	14	94	8	94	59	217	6	300	91	245	482
miR-27b-3p	miR-27b-3p	2292	522	1049	2034	556	999	3672	839	502	1483	489	1928	1577	8646	308	5513	891	845	3290
miR-27a-5p	miR-27a-5p	29	21	31	0	11	101	36	31	5	151	53	58	48	226	28	278	0	191	226
miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	0	8	5	0	20	15	69	1	20	14	2	34	52	146	18	226	83	0	88
miR-27a-3p	miR-27a-3p	56	68	35	0	11	56	582	337	40	228	84	34	92	310	28	508	12	126	449
miR-26b-3p	miR-26b-3p	81	17	35	0	44	89	196	49	34	0	1	101	36	199	40	82	0	268	248
miR-26-5p	miR-26-5p	43621	9583	13135	20497	13607	31833	43878	14846	15037	29756	5361	20239	23655	95006	8194	66579	40973	41198	62794
miR-24-6-5p	miR-24-6-5p	14	2	4	0	0	0	0	0	2	129	18	0	0	0	0	0	0	0	0
miR-24-4a-5p	miR-24-4a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-24-3p	miR-24-3p	1152	500	253	153	195	601	1954	1600	756	2156	335	535	854	1583	153	1535	888	513	845
miR-24-2-5p	miR-24-2-5p	411	129	285	386	106	66	122	0	110	454	117	201	318	585	46	488	90	205	215
miR-23b-2-5p	miR-23b-2-5p	52	17	39	257	89	84	64	41	6	173	24	302	189	173	46	797	112	22	362
miR-23b-2-3p	miR-23b-2-3p	1223	327	313	529	256	1204	996	956	316	775	82	700	862	3802	114	2143	1144	752	3204
miR-23a-3p_gac-miR-23b-2-3p	miR-23a-3p_gac-miR-23b-2-3p	29	11	33	52	37	0	0	0	30	55	13	12	76	125	72	242	0	0	0
miR-23a-3p	miR-23a-3p	28020	12713	12035	6089	3011	17018	20839	12276	10979	36111	6034	8250	12070	28048	1734	17758	25885	18555	42151
miR-23a-3-5p	miR-23a-3-5p	31	25	5	119	0	0	0	102	4	55	18	0	38	113	0	59	132	100	172
miR-23a-2-5p	miR-23a-2-5p	94	62	45	0	0	0	341	70	25	197	34	0	0	0	0	0	217	52	89
miR-23a-1-5p	miR-23a-1-5p	17	3	35	0	0	0	0	0	0	43	4	0	0	0	0	0	75	61	123
miR-22b-5p	miR-22b-5p	1020	277	880	1107	535	222	359	163	255	677	163	771	581	6635	377	1524	228	710	1087
miR-22b-3p	miR-22b-3p	41	6	0	70	9	0	43	0	20	54	11	0	15	209	3	56	0	0	0
miR-22a-5p	miR-22a-5p	1334	211	241	538	344	1051	193	94	98	627	128	563	814	3584	71	1167	976	1136	1182
miR-22a-3p	miR-22a-3p	82635	10918	56301	27742	13022	71065	219356	124117	8311	71719	21266	31238	28304	91142	4664	105049	97371	100911	130788
miR-223-3p	miR-223-3p	18402	9652	7249	8252	7202	8120	2296	3022	7057	20374	3270	16935	16758	22606	2465	9375	12865	12534	6598
miR-222c-5p	miR-222c-5p	14	2	0	0	27	0	34	0	1	16	1	42	49	70	0	86	0	0	97
miR-222a-5p	miR-222a-5p	4	3	41	0	57	55	111	79	8	134	42	70	116	71	42	89	262	203	32
miR-222-3p	miR-222-3p	2839	799	176	1122	599	3200	3005	1385	464	2214	346	1637	1519	2495	257	2549	3465	3947	4881
miR-221a-5p	miR-221a-5p	23	6	0	0	0	0	53	0	3	0	0	0	1	0	0	0	0	79	83
miR-221-3p	miR-221-3p	1713	406	194	683	635	2642	757	214	254	1037	202	982	1399	2933	418	2339	2116	2739	3782
miR-21a-3p	miR-21a-3p	12	16	11	8	4	0	0	0	8	46	13	74	7	26	8	67	93	67	35
miR-218b-5p	miR-218b-5p	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0
miR-218a-2-5p_gac-miR-218b-5p	miR-218a-2-5p_gac-miR-218b-5p	3	0	0	0	8	0	0	0	3	19	2	17	5	43	0	46	0	0	0
miR-218a-2-5p	miR-218a-2-5p	89	65	39	243	24	117	241	42	16	48	43	134	253	225	2	131	174	67	291
miR-2188-5p	miR-2188-5p	20534	8052	5434	3625	4921	1700	2489	1192	16273	6677	741	3154	1889	23432	5587	12006	2737	2357	1547
miR-2188-3p	miR-2188-3p	12415	4628	5349	6229	8609	4035	32524	17546	7069	11649	770	4317	2397	26636	6019	38775	8622	3389	2486
miR-217a-5p	miR-217a-5p	60	8	0	167	1	0	0	0	11	47	0	63	18	154	22	87	0	0	0
miR-216b-5p	miR-216b-5p	19	0	0	0	10	0	0	0	1	0	0	3	0	22	1	0	0	37	0
miR-214a-3p	miR-214a-3p	7098	2451	3183	5438	1379	4095	4291	8549	1932	3545	1122	1773	3958	12244	228	2724	7235	1826	2109
miR-212b-5p	miR-212b-5p	4	5	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
miR-212a-5p	miR-212a-5p	1	10	0	36	110	0	0	36	0	0	4	85	237	371	49	525	0	0	0
miR-210-5p	miR-210-5p	3353	718	634	789	571	389	1195	907	868	1475	296	1413	1923	6923	839	4307	306	860	1215
miR-210-3p	miR-210-3p	240	50	49	229	177	0	0	0	113	139	41	253	294	1041	197	459	0	0	0
miR-21-5p	miR-21-5p	32689	16892	27404	74569	44024	52097	103867	36534	10868	43693	19408	105553	96627	278672	29202	283738	79583	60090	100749
miR-20b-5p	miR-20b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-20a-5p	miR-20a-5p	37	16	0	42	46	247	0	24	15	121	0	96	133	235	103	257	99	72	76
miR-206-1-3p	miR-206-1-3p	10671	3470	28553	6072	6136	4076	6216	12953	3504	18292	551	11235	7595	56896	706	23167	2195	628	1191
miR-205-1-5p	miR-205-1-5p	1556	2486	122	885	63	51891	7577	297	263	2213	506	3903	2082	1094	86	3329	2812	85240	124221
miR-204-2b-3p	miR-204-2b-3p	14	9	0	58	32	90	0	25	6	5	0	99	30	12	8	134	68	7	0
miR-204-1/2b-5p	miR-204-1/2b-5p	1802	1281	501	7398	4792	6521	1349	9543	450	1217	604	11403	3015	11978	1216	14046	56620	5962	2609
miR-200b-5p	miR-200b-5p	20	6	0	0	15	58	3	0	0	33	12	30	80	48	0	69	57	76	214
miR-200b-3p	miR-200b-3p	743	854	152	916	134	80653	37891	118	36	1782	822	2794	6618	1685	252	3948	2016	67410	219846
miR-200a-3p	miR-200a-3p	273	344	65	244	63	4794	14730	251	32	710	801	572	1408	624	246	1587	237	6243	12993
miR-19b-3p	miR-19b-3p	39	8	0	0	48	0	0	0	38	39	0	64	48	194	100	188	0	0	0
miR-199-5p	miR-199-5p	3057	633	908	2145	735	517	140	1171	785	1153	475	693	2814	7956	157	2092	1166	323	196
miR-199-3p	miR-199-3p	12214	2994	2104	11544	4504	6676	4361	6909	1549	6155	1418	6620	15658	38885	834	13752	16596	2745	3847
miR-196d-5p	miR-196d-5p	16	13	15	0	2	0	48	186	6	47	1	11	22	86	0	111	0	0	0
miR-196d-3p	miR-196d-3p	28	31	20	18	14	69	0	14	8	0	3	55	10	132	0	47	61	13	0
miR-196a-5p	miR-196a-5p	77	32	51	157	73	0	106	0	13	116	19	55	109	470	4	236	183	228	232
miR-194a-5p	miR-194a-5p	1108	14	15	0	18	130	0	9	15	107	24	122	66	136	49	203	82	216	117
miR-194a-3p	miR-194a-3p	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-193a-2-5p	miR-193a-2-5p	334	89	245	191	92	184	37	134	91	331	74	44	113	1819	12	359	137	0	18
miR-191-5p	miR-191-5p	24824	11424	11335	5170	2000	0	0	0	5395	16400	4596	7577	5033	12055	1286	15870	0	0	0
miR-18c-5p	miR-18c-5p	24	7	36	0	14	111	122	0	2	17	24	50	28	77	25	131	64	224	31
miR-18a/b-5p	miR-18a/b-5p	24	1	12	71	4	0	0	0	11	20	11	21	4	60	17	29	0	0	0
miR-18a-3p	miR-18a-3p	107	21	0	0	0	277	60	61	15	43	0	0	0	0	0	0	69	75	0
miR-184-3p	miR-184-3p	358	292	129	65	26	24362	57666	1357	20	1397	710	385	733	143	14	677	871	31926	48980
miR-183-5p	miR-183-5p	194	150	391	32	35	5044	43318	424	38	237	167	78	21	256	16	419	525	7440	11106
miR-182b-5p	miR-182b-5p	0	9	33	33	19	2	141	35	8	13	0	25	9	58	0	64	110	138	1
