files	group	description
/data/230419_SAV_Geffroy_B3/RawCounts/B43_G_F.txt	F	B43_F
/data/230419_SAV_Geffroy_B3/RawCounts/B54_G_F.txt	F	B54_F
/data/230419_SAV_Geffroy_B3/RawCounts/B60_G_F.txt	F	B60_F
/data/230419_SAV_Geffroy_B3/RawCounts/T44_G_F.txt	F	T44_F
/data/230419_SAV_Geffroy_B3/RawCounts/T47_G_F.txt	F	T47_F
/data/230419_SAV_Geffroy_B3/RawCounts/C17.txt	F	C17_F
/data/230419_SAV_Geffroy_B3/RawCounts/C19.txt	F	C19_F
/data/230419_SAV_Geffroy_B3/RawCounts/C31.txt	F	C31_F
/data/230419_SAV_Geffroy_B3/RawCounts/B48_G_M.txt	M	B48_M
/data/230419_SAV_Geffroy_B3/RawCounts/B49_G_M.txt	M	B49_M
/data/230419_SAV_Geffroy_B3/RawCounts/B59_G_M.txt	M	B59_M
/data/230419_SAV_Geffroy_B3/RawCounts/T41_G_M.txt	M	T41_M
/data/230419_SAV_Geffroy_B3/RawCounts/T43_G_M.txt	M	T43_M
/data/230419_SAV_Geffroy_B3/RawCounts/T45_G_M.txt	M	T45_M
/data/230419_SAV_Geffroy_B3/RawCounts/T63_G_M.txt	M	T63_M
/data/230419_SAV_Geffroy_B3/RawCounts/T69_G_M.txt	M	T69_M
/data/230419_SAV_Geffroy_B3/RawCounts/C13.txt	M	C13_M
/data/230419_SAV_Geffroy_B3/RawCounts/C15.txt	M	C15_M
/data/230419_SAV_Geffroy_B3/RawCounts/C20.txt	M	C20_M
